,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
Immediate-Early,0,4,0,1,0,0,0
Early,0,1,1,3,3,7,0
Late,5,6,19,15,5,3,1
