,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
Immediate-Early,2,0,0,0,0,3,0
Early,0,0,6,1,1,7,0
Late,2,4,3,0,0,44,1
