,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
Immediate-Early,1,1,3,0,0,0,0
Early,0,0,13,0,1,1,0
Late,15,6,27,5,0,0,1
