,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
Immediate-Early,0,5,0,0,0,0,0,0
Early,4,0,6,0,0,0,5,0
Late,12,8,9,4,2,1,17,1
