,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
Immediate-Early,0,4,0,0,0,1,0,0
Early,5,3,7,0,0,0,0,0
Late,28,9,11,1,1,1,2,1
