,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8
Immediate-Early,2,3,0,0,0,0,0,0,0
Early,0,6,0,7,0,0,1,1,0
Late,2,43,1,2,1,1,0,0,4
