,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
Immediate-Early,0,0,0,5,0,0,0
Early,0,4,6,0,0,0,5
Late,5,12,9,8,2,1,17
