,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
Immediate-Early,1,4,0,0,0,0,0,0
Early,0,0,3,7,4,0,0,1
Late,17,7,0,3,17,5,5,0
