,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
Immediate-Early,0,1,3,0,0,1,0,0
Early,6,6,1,0,1,0,0,1
Late,4,30,7,4,0,4,5,0
