,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
Immediate-Early,0,0,3,0,0,2,0,0
Early,6,0,7,0,1,0,0,1
Late,3,4,44,1,0,1,1,0
