,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9
Immediate-Early,2,0,0,0,1,0,2,0,0,0
Early,0,6,4,0,0,0,1,1,0,3
Late,1,3,18,6,15,5,5,0,1,0
