,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
Immediate-Early,4,0,0,0,0,1,0
Early,7,0,6,1,1,0,0
Late,37,4,4,0,0,4,5
