,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9
Immediate-Early,3,0,2,0,0,0,0,0,0,0
Early,7,0,0,2,0,4,0,1,0,1
Late,44,4,1,0,1,2,1,0,1,0
