,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
Immediate-Early,1,0,4,0,0,0,0
Early,0,0,15,0,0,0,0
Late,1,1,47,1,1,2,1
