,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8
Immediate-Early,3,1,1,0,0,0,0,0,0
Early,1,6,0,0,1,4,0,1,2
Late,7,30,4,4,0,1,5,0,3
