,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8
Immediate-Early,2,0,3,0,0,0,0,0,0
Early,0,0,5,2,0,4,3,1,0
Late,8,4,29,1,3,3,0,0,6
