,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
Immediate-Early,2,0,0,0,0,0,3,0
Early,0,5,0,0,4,1,1,4
Late,6,1,8,4,20,0,12,3
