,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
Immediate-Early,0,4,0,0,1,0,0
Early,4,0,0,4,1,1,5
Late,3,10,4,24,12,0,1
