,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8
Immediate-Early,1,0,1,0,0,0,0,0,3
Early,0,0,0,9,1,1,0,0,4
Late,6,5,12,3,0,0,1,3,24
