,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9
Immediate-Early,0,0,1,3,0,0,0,0,1,0
Early,0,9,0,4,0,1,0,0,0,1
Late,5,3,12,24,4,0,1,3,2,0
