,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8
Immediate-Early,0,5,0,0,0,0,0,0,0
Early,6,0,1,0,0,0,5,0,3
Late,9,8,5,4,2,1,17,1,7
