,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
Immediate-Early,0,0,0,4,0,1,0
Early,0,7,0,0,4,0,4
Late,6,3,5,9,16,15,0
