,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
Immediate-Early,4,0,0,0,0,1,0,0
Early,15,0,0,0,0,0,0,0
Late,47,1,2,1,1,0,1,1
