,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
Immediate-Early,2,0,0,0,0,0,3
Early,0,13,0,1,0,1,0
Late,6,37,2,5,1,0,3
