,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
Immediate-Early,0,0,0,4,0,1,0
Early,0,5,7,3,0,0,0
Late,2,28,11,9,1,1,2
