,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
Immediate-Early,3,0,2,0,0,0,0,0
Early,0,1,0,1,4,9,0,0
Late,6,17,4,5,13,3,5,1
