,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
Immediate-Early,5,0,0,0,0,0,0,0
Early,13,0,0,0,1,1,0,0
Late,49,1,1,1,0,0,1,1
