,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8
Immediate-Early,0,0,0,4,0,0,0,0,1
Early,0,9,2,1,0,3,0,0,0
Late,6,12,8,8,1,13,1,1,4
