,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
Immediate-Early,0,4,0,1,0,0,0,0
Early,7,0,0,4,0,1,0,3
Late,3,6,7,28,4,0,5,1
