,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7
Immediate-Early,0,4,0,0,0,0,0,1
Early,0,0,7,0,1,4,3,0
Late,3,13,3,5,0,19,0,11
