,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8
Immediate-Early,0,1,0,0,0,0,0,0,4
Early,4,0,3,0,1,0,0,7,0
Late,17,15,0,5,0,1,6,3,7
