,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
Immediate-Early,0,0,0,0,0,2,3
Early,0,9,0,2,3,0,1
Late,4,12,2,6,17,2,11
