,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8
Immediate-Early,0,0,0,2,0,0,3,0,0
Early,0,1,13,0,0,1,0,0,0
Late,2,5,28,5,1,0,3,1,9
