,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9
Immediate-Early,0,0,1,0,3,0,0,0,0,1
Early,0,0,0,5,1,3,1,4,1,0
Late,7,4,7,23,7,3,0,1,0,2
