,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9
Immediate-Early,4,0,0,0,0,1,0,0,0,0
Early,3,2,7,0,3,0,0,0,0,0
Late,9,12,11,1,15,1,2,1,1,1
