,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
Immediate-Early,0,1,0,4,0,0,0
Early,8,0,3,0,4,0,0
Late,3,17,0,7,17,5,5
