,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8
Immediate-Early,4,1,0,0,0,0,0,0,0
Early,0,4,0,6,0,1,0,3,1
Late,6,28,7,3,4,0,5,1,0
