Metric,Value
GenBank Accession,NC_001806.2 (HSV-1 strain 17)
Raw CDS count,77
Non-redundant unique proteins retained,74
Duplicate sequences removed,"3 (e.g. repeat copies of RL1/ICP34.5, RL2/ICP0, RS1/ICP4)"
Min sequence length (aa),88
Max sequence length (aa),3139
Mean sequence length (aa),522.95
Median sequence length (aa),405.5
Proteins with ambiguous residues,0
Proteins with assigned temporal class,74/74
Proteins with assigned functional category,74/74
