representation_strategy,model,weighting,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,recall_IE_mean,recall_IE_std,f1_IE_mean,f1_IE_std,recall_Early_mean,recall_Early_std,recall_Late_mean,recall_Late_std
Combined_Feature_Standardized,Logistic_Regression,Class_Balanced,0.7324324324324325,0.03869681368453069,0.5135802469135803,0.052247170295058876,0.5060625807426956,0.04395728404509928,0.38169350547789704,0.09044332624274534,0.04,0.08944271909999159,0.03636363636363636,0.08131156281817417,0.6933333333333334,0.11155467020454343,0.8074074074074075,0.024845199749997684
Combined_Feature_Standardized,SVM_Linear,Class_Balanced,0.7243243243243244,0.020494257956896085,0.5155555555555555,0.05020609862937352,0.5101346028624707,0.04530821855345061,0.36523111992248075,0.052552564465454005,0.08,0.10954451150103323,0.07777777777777777,0.10829771494232181,0.6666666666666666,0.04714045207910316,0.8,0.008281733249999207
Combined_Equal_Block,Logistic_Regression,Class_Balanced,0.7648648648648648,0.022612433149569608,0.7582716049382715,0.019547541692540617,0.680919116383472,0.024270030635077496,0.5139357537128623,0.03480439805102631,0.8,0.0,0.5609523809523809,0.06427689533865505,0.6933333333333332,0.07601169500660922,0.7814814814814814,0.04014719146051633
Combined_Equal_Block,SVM_Linear,Class_Balanced,0.7594594594594595,0.022204968547506747,0.7323456790123457,0.03320046679303037,0.6708904601018091,0.02972127054907744,0.5064972181367566,0.032541039437560954,0.68,0.10954451150103325,0.5348051948051948,0.08660259447695108,0.7466666666666667,0.055777335102271744,0.7703703703703704,0.036099238314107274
