representation,model,pca_variance_threshold,mean_retained_dimensions,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,recall_IE_mean,recall_IE_std,f1_IE_mean,f1_IE_std,recall_Early_mean,recall_Early_std,recall_Late_mean,recall_Late_std
Combined_Equal_Block,Logistic_Regression,Full_Dimensional,1049.0,0.7648648648648648,0.022612433149569608,0.7582716049382715,0.019547541692540617,0.680919116383472,0.024270030635077496,0.5139357537128623,0.03480439805102631,0.8,0.0,0.5609523809523809,0.06427689533865505,0.6933333333333332,0.07601169500660922,0.7814814814814814,0.04014719146051633
Combined_Equal_Block,Logistic_Regression,PCA_90pct,22.04,0.7459459459459459,0.04098851591379218,0.7496296296296295,0.029724641902455825,0.6631195308456383,0.04030320367501504,0.48948066818992925,0.06646892941709648,0.8,0.0,0.5373626373626375,0.05346918956352908,0.6933333333333334,0.059628479399994376,0.7555555555555555,0.04793399668720289
Combined_Equal_Block,Logistic_Regression,PCA_95pct,29.64,0.7432432432432432,0.03169199837718533,0.7516049382716049,0.025367291273305757,0.6596121324666401,0.03332281894237025,0.4907917091363948,0.04972410723198324,0.8,0.0,0.5238612368024133,0.05577405170188176,0.7066666666666668,0.07601169500660922,0.7481481481481481,0.04459849843997145
Combined_Equal_Block,Logistic_Regression,PCA_99pct,44.32,0.7621621621621621,0.029606624730008965,0.7602469135802468,0.02837358285865849,0.6771324460614627,0.031448624430963495,0.5144857575968392,0.05682697249446915,0.8,0.0,0.543076923076923,0.04292096309471987,0.7066666666666668,0.07601169500660922,0.774074074074074,0.03312693299999689
ProtBERT,Logistic_Regression,Full_Dimensional,1024.0,0.727027027027027,0.024173707864862577,0.6474074074074074,0.04038943182718304,0.600187222542343,0.029038523175513285,0.4352236776795146,0.047814777314654736,0.4800000000000001,0.1095445115010332,0.3071428571428571,0.06056236829512812,0.7066666666666667,0.059628479399994425,0.7555555555555555,0.02414519409334316
ProtBERT,Logistic_Regression,PCA_90pct,9.84,0.6783783783783783,0.027694461529620528,0.6913580246913581,0.033945005147821054,0.5883576616734063,0.027868766615684604,0.40748524557225957,0.048140220763824515,0.72,0.10954451150103325,0.34575569358178054,0.04575124342486013,0.6799999999999999,0.07302967433402217,0.674074074074074,0.024845199749997684
ProtBERT,Logistic_Regression,PCA_95pct,17.28,0.7,0.02929659917389027,0.6745679012345678,0.021179227341475256,0.5977208735247768,0.02315980889451799,0.42834471479823144,0.03964768337230109,0.6,0.0,0.319110275689223,0.03730807108070271,0.72,0.05577733510227173,0.7037037037037037,0.03928371006591934
ProtBERT,Logistic_Regression,PCA_99pct,35.84,0.7135135135135136,0.017619465960007123,0.6323456790123456,0.0384047861926039,0.586646186741598,0.026056747623657766,0.41931160741587714,0.037834306045945613,0.44000000000000006,0.08944271909999157,0.2698366013071895,0.06108025854301446,0.72,0.05577733510227173,0.737037037037037,0.024145194093343158
