representation,method,K,silhouette,calinski_harabasz,davies_bouldin,cluster_size_min,cluster_size_max,cluster_size_vector,cluster_balance_warning
ProtBERT,K-Means,6,0.2433734387159347,30.30267711882476,1.2211957780183436,1,46,"[6, 46, 10, 1, 4, 7]",SINGLETON_DOMINATED
ProtBERT,K-Means,7,0.1322259157896042,27.795702721102103,1.4670709762269794,1,28,"[7, 14, 4, 28, 14, 1, 6]",SINGLETON_DOMINATED
ProtBERT,K-Means,8,0.1380903571844101,25.94551680931669,1.4795231480434912,1,24,"[8, 6, 8, 4, 24, 1, 16, 7]",SINGLETON_DOMINATED
ProtBERT,K-Means,9,0.1799659878015518,24.175218690608077,1.2217763891335118,1,37,"[10, 4, 37, 3, 3, 7, 3, 1, 6]",SINGLETON_DOMINATED
ProtBERT,K-Means,10,0.1519488245248794,22.734003711840383,1.3397581536640168,1,28,"[7, 4, 8, 28, 11, 6, 1, 5, 1, 3]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Ward,2,0.5237074494361877,77.04849797447885,0.8163537406591973,15,59,"[15, 59]",NONE
ProtBERT,Hierarchical_Ward,3,0.4488503336906433,49.87249115005473,1.04149271938255,5,59,"[59, 5, 10]",NONE
ProtBERT,Hierarchical_Ward,4,0.2315549403429031,40.29486985196647,1.4386541097146763,5,49,"[49, 5, 10, 10]",NONE
ProtBERT,Hierarchical_Ward,5,0.1964161694049835,33.77594991886021,1.690806949289302,5,38,"[5, 38, 10, 10, 11]",NONE
ProtBERT,Hierarchical_Ward,6,0.1933643370866775,29.68588063560199,1.4495094333744918,1,38,"[38, 11, 10, 10, 4, 1]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Ward,7,0.1858744621276855,27.017786249670493,1.4397681486457916,1,33,"[11, 10, 10, 33, 4, 1, 5]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Ward,8,0.1853459328413009,25.23920336191281,1.2914070151203156,1,33,"[10, 10, 7, 33, 4, 1, 5, 4]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Ward,9,0.1834436655044555,23.922635831567614,1.1923246752280043,1,33,"[10, 33, 7, 9, 4, 1, 5, 4, 1]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Ward,10,0.1812904626131057,22.69166234808733,1.2260623773355732,1,33,"[33, 9, 7, 4, 4, 1, 5, 4, 1, 6]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,2,0.5663541555404663,10.497064748187558,0.2754235389454557,1,73,"[73, 1]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,3,0.4886371493339538,45.25801658279882,0.6919921956276602,1,59,"[14, 1, 59]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,4,0.4599215090274811,32.15792977607687,0.6657554791356821,1,59,"[13, 1, 59, 1]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,5,0.4220675230026245,28.93334713296103,0.7478343511531862,1,59,"[59, 4, 9, 1, 1]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,6,0.3028791546821594,27.347095266924686,0.9098044965514952,1,55,"[55, 4, 4, 1, 1, 9]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,7,0.2438496202230453,23.871088647092787,0.8545780997436406,1,54,"[4, 4, 9, 1, 1, 54, 1]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,8,0.235139325261116,21.18217898566035,0.760435040593489,1,54,"[9, 4, 54, 1, 1, 3, 1, 1]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,9,0.2162400037050247,19.28566385842465,0.815604540624444,1,54,"[7, 4, 54, 2, 1, 3, 1, 1, 1]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,10,0.211341306567192,17.515978266555365,0.7838223416187345,1,54,"[54, 4, 3, 2, 1, 6, 1, 1, 1, 1]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Complete,2,0.5261927843093872,35.14402560146571,0.6485006718924551,5,69,"[69, 5]",NONE
ProtBERT,Hierarchical_Complete,3,0.4381466805934906,50.14997392327573,1.0297046782014017,5,58,"[5, 11, 58]",NONE
ProtBERT,Hierarchical_Complete,4,0.4327617883682251,36.4031223399122,0.8361214203194538,1,58,"[11, 4, 58, 1]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Complete,5,0.41146120429039,29.260475716518545,0.7435500534848549,1,58,"[58, 4, 10, 1, 1]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Complete,6,0.2911490797996521,28.19992983967965,0.9341117953082476,1,53,"[53, 4, 10, 1, 1, 5]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Complete,7,0.188116654753685,25.799697652064488,1.0701364850712574,1,48,"[48, 4, 10, 1, 1, 5, 5]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Complete,8,0.1471175849437713,24.044835172528774,1.4026921666956724,1,37,"[10, 37, 11, 4, 1, 5, 5, 1]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Complete,9,0.1362731307744979,22.48260925150131,1.466548374991086,1,37,"[11, 37, 5, 4, 1, 5, 5, 1, 5]",SINGLETON_DOMINATED
ProtBERT,Hierarchical_Complete,10,0.1251466274261474,21.345883344925035,1.386697846491864,1,37,"[37, 4, 5, 5, 3, 5, 5, 1, 8, 1]",SINGLETON_DOMINATED
Combined_Feature_Standardized,K-Means,2,0.2513118790592051,14.871140532033166,1.8202606726136976,15,59,"[15, 59]",NONE
Combined_Feature_Standardized,K-Means,3,0.1424799212269241,11.530382711326435,2.266353497799756,15,41,"[18, 41, 15]",NONE
Combined_Feature_Standardized,K-Means,4,0.1559497111008311,10.625368181816077,2.0306795199075083,7,39,"[12, 39, 7, 16]",NONE
Combined_Feature_Standardized,K-Means,5,0.1026765860669982,9.74029331593101,1.974287483820773,8,24,"[16, 8, 24, 17, 9]",NONE
Combined_Feature_Standardized,K-Means,6,0.1129321438554704,8.928726442125592,1.8834235023387451,6,23,"[6, 11, 15, 8, 23, 11]",NONE
Combined_Feature_Standardized,K-Means,7,0.1102670486992168,8.382171439343717,1.813358343904964,4,20,"[6, 10, 5, 13, 20, 16, 4]",NONE
Combined_Feature_Standardized,K-Means,8,0.1096601107285456,7.926055426895424,1.5500206880617171,1,23,"[3, 17, 10, 5, 1, 23, 3, 12]",SINGLETON_DOMINATED
Combined_Feature_Standardized,K-Means,9,0.1172970390812676,7.701077198267033,1.5120238813790223,1,21,"[21, 16, 3, 5, 1, 1, 6, 10, 11]",SINGLETON_DOMINATED
Combined_Feature_Standardized,K-Means,10,0.1282276787744601,7.402838735794186,1.4719552776370215,1,22,"[3, 9, 22, 6, 16, 5, 8, 1, 1, 3]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Ward,2,0.2160719016060446,13.993292319310306,2.015118298515255,19,55,"[19, 55]",NONE
Combined_Feature_Standardized,Hierarchical_Ward,3,0.1740199702474998,11.119965985217906,1.8789296898918977,8,55,"[55, 8, 11]",NONE
Combined_Feature_Standardized,Hierarchical_Ward,4,0.1514207034808753,10.336653627275,2.103474815422208,8,39,"[39, 16, 11, 8]",NONE
Combined_Feature_Standardized,Hierarchical_Ward,5,0.0918601081550783,9.596716913570589,2.00393811998807,8,21,"[16, 8, 11, 18, 21]",NONE
Combined_Feature_Standardized,Hierarchical_Ward,6,0.1053173691249316,8.809607941541454,1.875782685642271,5,21,"[8, 18, 11, 11, 21, 5]",NONE
Combined_Feature_Standardized,Hierarchical_Ward,7,0.1099557876722708,8.351480724803395,1.7690066885208915,3,21,"[11, 18, 3, 11, 21, 5, 5]",NONE
Combined_Feature_Standardized,Hierarchical_Ward,8,0.1128223411123932,8.053870956827947,1.6025522870112876,1,21,"[18, 11, 3, 10, 21, 5, 5, 1]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Ward,9,0.1231082826621024,7.879247017054022,1.5458167732833117,1,21,"[11, 10, 3, 5, 21, 5, 5, 1, 13]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Ward,10,0.127700482134537,7.684712975558932,1.4211071178735544,1,21,"[10, 10, 3, 5, 21, 5, 5, 1, 13, 1]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Average,2,0.3767520145525544,4.007208472540035,0.4703325081028031,1,73,"[73, 1]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Average,3,0.346402586265206,3.989255228486092,0.4766384049998971,1,72,"[72, 1, 1]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Average,4,0.2465961423776806,3.602402232754492,0.5251453845550591,1,71,"[71, 1, 1, 1]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Average,5,0.2668635422396114,5.764411140433801,0.7733548610925067,1,66,"[66, 5, 1, 1, 1]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Average,6,0.1937972624535452,5.136535031620821,0.7472105312746214,1,65,"[5, 65, 1, 1, 1, 1]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Average,7,0.1800509605055764,4.636843173006104,0.6980831040765875,1,65,"[65, 4, 1, 1, 1, 1, 1]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Average,8,0.1686284886735471,5.65183497639682,0.962559303009798,1,56,"[56, 9, 1, 4, 1, 1, 1, 1]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Average,9,0.1639999465776051,5.8655635485012105,1.0197345332933232,1,52,"[4, 52, 1, 9, 1, 1, 1, 1, 4]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Average,10,0.1538197954916858,5.485530123324094,0.9512829392344306,1,52,"[52, 9, 1, 4, 1, 1, 1, 1, 3, 1]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Complete,2,0.3092425764864604,11.245487510248164,1.3503511958701246,6,68,"[68, 6]",NONE
Combined_Feature_Standardized,Hierarchical_Complete,3,0.3115117542809317,8.017086095480407,1.0391732085537728,1,67,"[67, 6, 1]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Complete,4,0.163278625705536,7.093870437246495,1.7048822054108237,1,59,"[6, 59, 1, 8]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Complete,5,0.1639510258915136,6.264415115588424,1.4378628770912785,1,59,"[59, 8, 1, 5, 1]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Complete,6,0.079612494666576,6.163581603869149,1.7492655611544354,1,43,"[8, 16, 43, 5, 1, 1]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Complete,7,0.0827556651654804,5.7406061076249335,1.5590366103621736,1,43,"[16, 7, 43, 5, 1, 1, 1]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Complete,8,0.0851794957398152,5.757349938443674,1.4275166562732249,1,43,"[43, 7, 13, 5, 1, 1, 1, 3]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Complete,9,0.1067487031540901,6.850641498106637,1.4505239218424195,1,31,"[7, 5, 13, 12, 1, 1, 1, 3, 31]",SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Complete,10,0.1164348234518698,6.769408458364275,1.3638309288855706,1,31,"[5, 12, 13, 31, 4, 1, 1, 3, 3, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,K-Means,2,0.1377308154044176,8.21623739851943,2.3128982108227736,15,59,"[15, 59]",NONE
Combined_Equal_Block,K-Means,3,0.1168187979010501,8.244150865026132,2.351938129208734,15,41,"[18, 15, 41]",NONE
Combined_Equal_Block,K-Means,4,0.0900749984156935,7.192223180970435,2.2520357459237457,8,36,"[11, 36, 19, 8]",NONE
Combined_Equal_Block,K-Means,5,0.0669289692616937,6.571249301256947,2.3043515492276803,8,19,"[13, 19, 8, 15, 19]",NONE
Combined_Equal_Block,K-Means,6,0.0760046147739201,6.245286899427863,2.1914888709970928,5,20,"[7, 18, 20, 5, 13, 11]",NONE
Combined_Equal_Block,K-Means,7,0.0758502819454321,5.634992631763471,2.054308471336502,1,20,"[5, 11, 20, 19, 8, 10, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,K-Means,8,0.0684069714225051,5.497651084889891,2.029954088830161,1,18,"[9, 18, 6, 6, 17, 12, 5, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,K-Means,9,0.088015082758275,5.082509757363496,1.7122252498934538,1,23,"[14, 5, 23, 13, 1, 3, 10, 4, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,K-Means,10,0.0823324398801846,4.979418101941273,1.804085616367462,1,20,"[5, 20, 14, 5, 8, 1, 5, 8, 5, 3]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Ward,2,0.1137511286524829,7.918885427865436,2.552575502875172,19,55,"[55, 19]",NONE
Combined_Equal_Block,Hierarchical_Ward,3,0.1074891572646897,7.692661610675821,2.421748385166569,16,39,"[39, 19, 16]",NONE
Combined_Equal_Block,Hierarchical_Ward,4,0.0578748729412166,6.92229897538885,2.383670820334404,16,20,"[19, 20, 16, 19]",NONE
Combined_Equal_Block,Hierarchical_Ward,5,0.0691417084147201,6.633977063409204,2.2570807254965843,8,20,"[16, 20, 11, 19, 8]",NONE
Combined_Equal_Block,Hierarchical_Ward,6,0.0747920189818476,6.19710114931801,2.2117532104320543,6,20,"[20, 6, 11, 19, 8, 10]",NONE
