representation,dimension,global_mean,global_std,global_min,global_max,mean_row_l2_norm,min_row_l2_norm,max_row_l2_norm
Physicochemical,25,2281.686212231786,14500.49372046428,0.0,333438.1327000056,56461.42170246924,9202.181491476738,333452.9121674246
ProtBERT,1024,0.0017971976194530725,0.16717003285884857,-2.1413843631744385,5.544858932495117,5.2826247215271,2.752908229827881,6.0481061935424805
Combined Raw,1049,54.379404801025665,2265.431829784939,-2.1413843631744385,333438.1327000056,56461.42215477212,9202.183097450605,333452.912211087
