representation,model,weighting,precision_IE_mean,precision_IE_std,recall_IE_mean,recall_IE_std,f1_IE_mean,f1_IE_std,precision_Early_mean,precision_Early_std,recall_Early_mean,recall_Early_std,f1_Early_mean,f1_Early_std,precision_Late_mean,precision_Late_std,recall_Late_mean,recall_Late_std,f1_Late_mean,f1_Late_std
Combined_Equal_Block,Logistic_Regression,Class_Balanced,0.5099999999999999,0.3806062415556412,0.8,0.408248290463863,0.5893333333333333,0.36511286940808785,0.6238095238095238,0.27602451225951435,0.6933333333333332,0.2873892701417236,0.6375238095238095,0.2474246413290525,0.8913073593073593,0.08372465084998827,0.7825454545454545,0.12933715310595684,0.8254704742947037,0.0789192213183895
Combined_Equal_Block,Logistic_Regression,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.4493333333333333,0.4236219488595409,0.29333333333333333,0.27755546659548436,0.33219047619047615,0.2966628448886294,0.7676405816405817,0.04572873017729213,0.9403636363636363,0.07727629225288062,0.8428662858118235,0.041044072217263035
Combined_Equal_Block,Random_Forest,Class_Balanced,0.04,0.13844373104863458,0.08,0.27688746209726917,0.05333333333333333,0.18459164139817943,0.7926666666666666,0.20418537329266923,0.7199999999999999,0.2293307493394477,0.728190476190476,0.17947875313503975,0.8461869241869243,0.06288600549427227,0.8810909090909089,0.09318810030560495,0.860179107848673,0.06047267246969941
Combined_Equal_Block,Random_Forest,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.5826666666666667,0.41207132608054364,0.44,0.32942149067496873,0.47409523809523807,0.3268880271789182,0.796882672882673,0.057736173849633546,0.9476363636363636,0.07377465502811861,0.8627782694803288,0.042107879513926326
Combined_Equal_Block,SVM_Linear,Class_Balanced,0.42,0.36362373715452384,0.68,0.4760952285695233,0.49999999999999994,0.38188130791298663,0.6078095238095238,0.17281395673739744,0.7466666666666666,0.24113927126900783,0.6495238095238095,0.15838106453240786,0.8944040404040403,0.0864859875249128,0.7712727272727272,0.1122239496543989,0.8210813090231585,0.06903521537597518
Combined_Equal_Block,SVM_Linear,Unweighted,0.02,0.1,0.04,0.2,0.026666666666666665,0.13333333333333333,0.6226666666666666,0.377794525772547,0.44,0.30000000000000004,0.47809523809523813,0.27800444266884117,0.7892363192363193,0.05989842229939388,0.8923636363636362,0.08396509835072445,0.8344328467870803,0.048119154015739636
Combined_Equal_Block,SVM_RBF,Class_Balanced,0.12,0.33166247903553997,0.12,0.33166247903553997,0.12,0.33166247903553997,0.596,0.337758131738609,0.4666666666666666,0.3042903097250923,0.48914285714285716,0.2693197107082282,0.8038563658563659,0.06603423626615938,0.9145454545454544,0.08135390156762909,0.8529267297157458,0.05464833579307842
Combined_Equal_Block,SVM_RBF,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.16583123951776998,0.05333333333333333,0.1575271875417536,0.054857142857142854,0.1542857142857143,0.7334212454212455,0.020935083410356808,0.9734545454545455,0.05221802143978073,0.8355094760312152,0.018728077249229456
Combined_Equal_Block,XGBoost,Class_Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.6233333333333333,0.371994125799897,0.4933333333333333,0.334995854037363,0.5169523809523809,0.30309589271615983,0.7965805305805307,0.06243906773138901,0.885090909090909,0.10304857235528696,0.8337126573341408,0.057225079437828646
Combined_Equal_Block,XGBoost,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.5426666666666666,0.43861841173292204,0.3466666666666666,0.31150768375280413,0.3963809523809524,0.3216380269933319,0.7757178377178378,0.05938211382551112,0.9330909090909091,0.08413716991248009,0.8447243987134148,0.0550278219747424
Combined_Feature_Standardized,Logistic_Regression,Class_Balanced,0.013333333333333332,0.06666666666666667,0.04,0.2,0.02,0.1,0.6976190476190476,0.2815083952005786,0.6933333333333332,0.3030707043774635,0.648,0.2347218163395973,0.8327424797424797,0.06705073655822479,0.8072727272727274,0.13278122606185846,0.8131240294411919,0.07817735755612137
Combined_Feature_Standardized,Logistic_Regression,Unweighted,0.013333333333333332,0.06666666666666667,0.04,0.2,0.02,0.1,0.7209523809523809,0.29053229356724214,0.6266666666666666,0.2937623125867175,0.6207619047619047,0.22985288929675216,0.8221379731379731,0.06350249946309636,0.8403636363636364,0.1302434677116004,0.8238241235499817,0.06934950891647958
Combined_Feature_Standardized,Random_Forest,Class_Balanced,0.04,0.13844373104863458,0.08,0.27688746209726917,0.05333333333333333,0.18459164139817943,0.7926666666666666,0.20418537329266923,0.7199999999999999,0.2293307493394477,0.728190476190476,0.17947875313503975,0.8461869241869243,0.06288600549427227,0.8810909090909089,0.09318810030560495,0.860179107848673,0.06047267246969941
Combined_Feature_Standardized,Random_Forest,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.5826666666666667,0.41207132608054364,0.44,0.32942149067496873,0.47409523809523807,0.3268880271789182,0.796882672882673,0.057736173849633546,0.9476363636363636,0.07377465502811861,0.8627782694803288,0.042107879513926326
Combined_Feature_Standardized,SVM_Linear,Class_Balanced,0.05333333333333333,0.20816659994661327,0.08,0.27688746209726917,0.06,0.21984843263788198,0.6365714285714286,0.31510976023876575,0.6666666666666665,0.3042903097250923,0.6246666666666667,0.27917862193915527,0.8242043512043512,0.07680181747870034,0.7996363636363637,0.14809348547715173,0.8056400685508238,0.09939856765284068
Combined_Feature_Standardized,SVM_Linear,Unweighted,0.05333333333333333,0.20816659994661327,0.08,0.27688746209726917,0.06,0.21984843263788198,0.6365714285714286,0.31510976023876575,0.6666666666666665,0.3042903097250923,0.6246666666666667,0.27917862193915527,0.8242043512043512,0.07680181747870034,0.7996363636363637,0.14809348547715173,0.8056400685508238,0.09939856765284068
Combined_Feature_Standardized,SVM_RBF,Class_Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.8126666666666666,0.22909241221248106,0.6533333333333333,0.24494897427831783,0.6909523809523809,0.19995747847299664,0.8285048285048284,0.05635035256702629,0.9069090909090909,0.10259310090165459,0.8633338603425558,0.0674288328108099
Combined_Feature_Standardized,SVM_RBF,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.2379075450674064,0.07999999999999999,0.1990719207463213,0.076,0.17860571099491754,0.7344371184371186,0.02311792263358799,0.954909090909091,0.08288363511391722,0.8278829850546099,0.03182061761021014
Combined_Feature_Standardized,XGBoost,Class_Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.6233333333333333,0.371994125799897,0.4933333333333333,0.334995854037363,0.5169523809523809,0.30309589271615983,0.7965805305805307,0.06243906773138901,0.885090909090909,0.10304857235528696,0.8337126573341408,0.057225079437828646
Combined_Feature_Standardized,XGBoost,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.5426666666666666,0.43861841173292204,0.3466666666666666,0.31150768375280413,0.3963809523809524,0.3216380269933319,0.7757178377178378,0.05938211382551112,0.9330909090909091,0.08413716991248009,0.8447243987134148,0.0550278219747424
Physicochemical,Logistic_Regression,Class_Balanced,0.5333333333333333,0.408248290463863,0.72,0.458257569495584,0.5933333333333333,0.40847503210337327,0.2644761904761905,0.17921698128090616,0.41333333333333333,0.27688746209726917,0.31733333333333336,0.20758048401624668,0.777037518037518,0.09853949929050042,0.6261818181818182,0.11940855163620716,0.6885815251140329,0.0976749585829468
Physicochemical,Logistic_Regression,Unweighted,0.34,0.45,0.4,0.5,0.36,0.4606758320361751,0.264,0.3101179584418615,0.2533333333333333,0.2768874620972691,0.24238095238095236,0.2564649721404391,0.7692152292152292,0.07986887110434837,0.8076363636363637,0.12707452098787356,0.7843065846434268,0.08879347077099557
Physicochemical,Random_Forest,Class_Balanced,0.39666666666666667,0.4005782856857857,0.6,0.5,0.45599999999999996,0.4147422224841728,0.4740952380952381,0.25880134622965095,0.56,0.23013683530231088,0.4961010101010101,0.2207090818900133,0.8208467088467089,0.08316385204066958,0.732,0.14429270832211563,0.7677324948424693,0.10589737350425771
Physicochemical,Random_Forest,Unweighted,0.04,0.2,0.04,0.2,0.04,0.2,0.21999999999999997,0.35913991908653303,0.12,0.18954135676924422,0.14800000000000002,0.22711556855812742,0.7421684981684982,0.032838929986010394,0.9552727272727272,0.05435066228076827,0.8344209182122226,0.03095798938124874
Physicochemical,SVM_Linear,Class_Balanced,0.52,0.35784850922639816,0.8,0.408248290463863,0.6066666666666666,0.3531603350069515,0.24190476190476193,0.1733236849747969,0.45333333333333337,0.33166247903553997,0.3081962481962482,0.21169328926343267,0.777976911976912,0.12101258071324282,0.5487272727272727,0.11662376228014021,0.6336372392657222,0.08976180256325918
Physicochemical,SVM_Linear,Unweighted,0.5266666666666666,0.3557725032574526,0.8,0.408248290463863,0.6133333333333333,0.3526355793901855,0.26999999999999996,0.2760921075508169,0.2533333333333333,0.25962936545662046,0.24650793650793648,0.23312132685798875,0.7746029526029526,0.06516942199534115,0.76,0.12057598223988454,0.7616494635798985,0.07289489066828428
Physicochemical,SVM_RBF,Class_Balanced,0.32,0.47609522856952335,0.32,0.47609522856952335,0.32,0.47609522856952335,0.37976190476190474,0.24453300549932647,0.4933333333333333,0.2567604446286965,0.40940548340548333,0.21507611866466728,0.790006993006993,0.07799696836713536,0.7505454545454546,0.14386154194463754,0.7641372641088888,0.10081194826413935
Physicochemical,SVM_RBF,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7287619047619047,0.008302664654363157,0.9963636363636365,0.018181818181818188,0.8417435897435896,0.010136045866922098
Physicochemical,XGBoost,Class_Balanced,0.3733333333333333,0.46218082079540157,0.44,0.5066228051190221,0.3933333333333333,0.46864659353251426,0.4786666666666667,0.3241984417446044,0.42666666666666664,0.28087165910587863,0.41625396825396827,0.24261939810246194,0.8014910644910646,0.08175087374571187,0.8196363636363637,0.1455652987437154,0.8038732809524572,0.09209749403821732
Physicochemical,XGBoost,Unweighted,0.2,0.4082482904638631,0.2,0.4082482904638631,0.2,0.4082482904638631,0.4333333333333333,0.42695628191498325,0.22666666666666666,0.1855921454276674,0.28019047619047616,0.23761332181287279,0.7576197136197136,0.04708438998597486,0.9036363636363638,0.0950206589107585,0.8224537954798826,0.059448257954888374
ProtBERT,Logistic_Regression,Class_Balanced,0.3,0.39308254716902513,0.48,0.5099019513592785,0.3453333333333333,0.4070990415484046,0.7144761904761904,0.2833407695436065,0.7066666666666666,0.27755546659548436,0.6847619047619047,0.24310891866422588,0.8588701298701299,0.09786171552201298,0.7552727272727273,0.12949680107092726,0.7973374628542215,0.09300600155755306
ProtBERT,Logistic_Regression,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.7793333333333333,0.3492478691045574,0.4666666666666666,0.2545875386086578,0.5504761904761906,0.2512064615390536,0.8021653901653901,0.04562971774051205,0.9625454545454545,0.07340217154743305,0.8729509721399882,0.0418791294385297
ProtBERT,Random_Forest,Class_Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.8193333333333334,0.20787059721178747,0.7333333333333333,0.23570226039551584,0.7468571428571429,0.18662110717098254,0.8442148962148963,0.05539963963421532,0.8959999999999999,0.10003718316970407,0.8666616977225671,0.06537734794764874
ProtBERT,Random_Forest,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.4104536785341584,0.45333333333333337,0.3584947956644817,0.48028571428571426,0.3478306596613552,0.7963778443778443,0.06931094505426347,0.9290909090909091,0.0696804987125268,0.8550607000931943,0.05272663370025421
ProtBERT,SVM_Linear,Class_Balanced,0.3093333333333333,0.27693260311250223,0.72,0.45825756949558405,0.412,0.3076012329600103,0.7826666666666666,0.2600961360727991,0.7066666666666666,0.27755546659548436,0.7144761904761904,0.233549786224485,0.8825310245310244,0.09857802098328611,0.7625454545454545,0.11026264662010168,0.8126579006611313,0.0841901631446583
