,sequence_length,molecular_weight,aromaticity,instability_index,isoelectric_point,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y
aa_H,-0.09201406265874058,-0.08568615223295217,0.17330530760781596,-0.18441328074890628,0.07863245376306184,-0.10564212278859818,0.16932815376099553,-0.2425759404270789,-0.3063421753301335,0.08431313972338063,0.013469956670393675,1.0,0.057670768595313386,0.07193503831798505,0.048652944889095454,0.041898813889791116,0.2169360169794991,-0.007291873032071517,-0.06892158263814649,-0.3155457931064032,-0.19274453501994085,0.15310690342036726,-0.06048039979176007,-0.07827054269547949,0.27437716999954553
aa_I,-0.13450810204224511,-0.12247399130307045,0.3476988060261482,-0.24071065268544198,-0.09612937321229083,-0.3297424913983361,0.24114087580387522,-0.1556800921765325,0.042035223073893235,0.1837268047597381,-0.14425779541146136,0.057670768595313386,1.0,0.37200547674189255,0.11763837401605552,-0.04470655297477522,0.22566728413252182,-0.34037953852741226,0.212690222468563,-0.32744117747261264,-0.09379500674800459,0.05559453074030769,-0.008289703156484099,-0.03679815700431426,0.4540611253812074
aa_K,0.1590586387019457,0.1744344905609311,0.24467572016272038,-0.18867694367345922,0.012144931581778986,-0.29022490557688285,0.07879386025859633,0.06715931350759768,0.30004513282568784,0.28942974447550734,-0.37919439658842,0.07193503831798505,0.37200547674189255,1.0,-0.06926851670069528,-0.1427893591346413,0.22378962180986173,-0.3660041059085472,0.0688493021046921,-0.11238997303568393,0.11069745783868638,0.32066925366319193,-0.1545320922328579,-0.21299995104736805,0.2249595519950598
aa_L,0.12153359858538948,0.1299216877865924,0.4189523703031848,-0.27746768170073044,-0.14911799589546873,0.041992005047961474,0.1299542325993032,-0.12241054519010332,-0.2302331191092012,0.3628155882101708,-0.10266175898680434,0.048652944889095454,0.11763837401605552,-0.06926851670069528,1.0,0.06862120515518307,0.12265893938950789,-0.6017444156459917,-0.0750856491218502,-0.331508541184729,-0.35277407594222787,-0.1333950019858571,0.3636228827343759,0.15190822457075834,0.23232174845911333
aa_M,-0.2533991919723939,-0.24843258208326985,-0.021175209917781587,0.05395333284731876,-0.006089006828061656,-0.18669125074216494,0.08778024389647943,-0.07639573642854255,0.027442973985597748,0.043679840024247484,0.037990838200929446,0.041898813889791116,-0.04470655297477522,-0.1427893591346413,0.06862120515518307,1.0,0.21294837421329116,-0.19742230428359164,-0.002158427638663431,-0.023632638419582516,0.05589852380991323,-0.007094240492322378,0.03494247090265088,-0.18296499050568243,0.01742013829321062
aa_N,0.08930287419199608,0.10435658395009269,0.4013848212244966,-0.1860687095180893,-0.03854315850844988,-0.35292232037293686,-0.08588312684731561,-0.010377903538236869,-0.0077970141099206755,0.4783661469118104,-0.28039717492125427,0.2169360169794991,0.22566728413252182,0.22378962180986173,0.12265893938950789,0.21294837421329116,1.0,-0.3524436820725768,0.18007790428340792,-0.27947279183264495,-0.0618568550724815,0.2721746153861391,0.012993005325259536,-0.1904522071814684,0.26257216205518075
aa_P,-0.14572330118622895,-0.16020884145248895,-0.594016602287095,0.4395552912837298,0.22477010297435268,0.03941525419670305,-0.21206823183468101,-0.056755912398666265,-0.08357338457388101,-0.6135224003503943,0.1257643765118946,-0.007291873032071517,-0.34037953852741226,-0.3660041059085472,-0.6017444156459917,-0.19742230428359164,-0.3524436820725768,1.0,-0.0714402009900908,0.34893110423263235,0.1227151718237884,0.0061067715930141495,-0.21371305267086244,0.10503418244977764,-0.4017961426215236
aa_Q,0.19625042132751763,0.20044183205016805,0.014331044682939312,-0.2482873332037622,-0.09454300436395448,-0.026610099887872222,-0.17565590986583135,-0.09496388934508122,0.06665564648159367,0.11570339589218756,0.030952291800636786,-0.06892158263814649,0.212690222468563,0.0688493021046921,-0.0750856491218502,-0.002158427638663431,0.18007790428340792,-0.0714402009900908,1.0,-0.17734038700243754,-0.10188681257528771,0.10981820821810358,-0.19878413082185922,-0.409963236106688,0.13534387361597786
aa_R,-0.20814788981096807,-0.21042168203749254,-0.555220731056902,0.42818376498357585,0.533790333879777,-0.11260533253100286,-0.20063180979492515,0.3158496833037641,0.19180883578277438,-0.42526788671510857,-0.06804247921791763,-0.3155457931064032,-0.32744117747261264,-0.11238997303568393,-0.331508541184729,-0.023632638419582516,-0.27947279183264495,0.34893110423263235,-0.17734038700243754,1.0,0.1322808781573825,-0.1135199956363152,-0.19474916581910903,-0.10382380404743773,-0.4445925049179734
aa_S,-0.14060998251414827,-0.1445060360280419,-0.13464843906478313,0.5829017375426614,0.012896517271127077,-0.27469861410384405,0.02962948506659175,0.06613849105770642,0.11674569842764156,-0.11039700788021313,-0.3013369580949203,-0.19274453501994085,-0.09379500674800459,0.11069745783868638,-0.35277407594222787,0.05589852380991323,-0.0618568550724815,0.1227151718237884,-0.10188681257528771,0.1322808781573825,1.0,0.10802516109629892,-0.12816279586624982,-0.019205056583024616,-0.10192239471671469
aa_T,-0.13701769746265485,-0.13100152666136322,-0.0361053585327708,-0.09289365408839582,0.03653732623350535,-0.44507329029305026,-0.1222241294014594,-0.022122142406521272,0.04634896029266082,0.05704199127669715,-0.3573763728787696,0.15310690342036726,0.05559453074030769,0.32066925366319193,-0.1333950019858571,-0.007094240492322378,0.2721746153861391,0.0061067715930141495,0.10981820821810358,-0.1135199956363152,0.10802516109629892,1.0,-0.050370356448943464,-0.10643754299728178,-0.07845868951293603
aa_V,-0.04135085777968474,-0.04047137852951211,0.15939403034765262,-0.07695140918748523,0.18738262489394658,-0.10305278601871196,0.20512963735918496,-0.4862389648600679,-0.4615938028752079,0.054881990680314706,0.10616950866035829,-0.06048039979176007,-0.008289703156484099,-0.1545320922328579,0.3636228827343759,0.03494247090265088,0.012993005325259536,-0.21371305267086244,-0.19878413082185922,-0.19474916581910903,-0.12816279586624982,-0.050370356448943464,1.0,0.20288029600860658,0.1068280813253284
