cohort_description,sample_size,n_excluded_proteins,excluded_protein_ids,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,recall_IE_mean,recall_IE_std,f1_IE_mean,f1_IE_std,recall_Early_mean,recall_Early_std,recall_Late_mean,recall_Late_std
Full_Primary_Dataset (N=74),74,0,NONE_EXCLUDED,0.7648648648648648,0.022612433149569608,0.7582716049382715,0.019547541692540617,0.680919116383472,0.024270030635077496,0.5139357537128623,0.03480439805102631,0.8,0.0,0.5609523809523809,0.06427689533865505,0.6933333333333332,0.07601169500660922,0.7814814814814814,0.04014719146051633
Excluding_Prominent_Outliers_UL36_US12_UL41 (N=71),71,3,"YP_009137111.1, YP_009137116.1, YP_009137148.1",0.7859154929577465,0.03908292091693411,0.8171794871794873,0.0425094472833412,0.7230877293854243,0.036368644539151264,0.5357618115023927,0.09037573742555208,1.0,0.0,0.7030303030303031,0.033195306515464644,0.6399999999999999,0.11155467020454342,0.8115384615384617,0.03159937831760576
Excluding_Top10pct_Physicochemical_Outliers (N=66),66,8,"YP_009137073.1, YP_009137085.1, YP_009137110.1, YP_009137111.1, YP_009137125.1, YP_009137140.1, YP_009137145.1, YP_009137147.1",0.793939393939394,0.01355192713636235,0.7731400966183574,0.010960968348515362,0.7440304065874925,0.021007373302052046,0.5698871937014001,0.022803339823148597,0.8,0.0,0.7175757575757575,0.05514818504764767,0.6933333333333332,0.036514837167011066,0.826086956521739,0.021739130434782594
Excluding_Top10pct_ProtBERT_Density_Outliers (N=66),66,8,"YP_009137074.1, YP_009137090.1, YP_009137097.1, YP_009137115.1, YP_009137119.1, YP_009137139.1, YP_009137141.1, YP_009137147.1",0.7303030303030302,0.051826155686324454,0.6427263212977499,0.04418496958083867,0.6003029242105616,0.04240167795605294,0.4289847793037306,0.08297879360447795,0.45,0.11180339887498951,0.3777777777777778,0.10183501544346311,0.7230769230769231,0.08770580193070292,0.7551020408163265,0.05949950913107451
Excluding_Union_Geometric_Outliers (N=60),59,15,"YP_009137073.1, YP_009137074.1, YP_009137085.1, YP_009137090.1, YP_009137097.1, YP_009137110.1, YP_009137111.1, YP_009137115.1, YP_009137119.1, YP_009137125.1, YP_009137139.1, YP_009137140.1, YP_009137141.1, YP_009137145.1, YP_009137147.1",0.7423728813559322,0.03865001441014026,0.6772893772893773,0.06848411520427294,0.6695858419996351,0.05455938430073054,0.45278127166674975,0.08727883635314881,0.6,0.13693063937629152,0.6261904761904761,0.08056630626518396,0.6461538461538462,0.08770580193070293,0.7857142857142856,0.023809523809523836
