representation,model,weighting,true_class,predicted_class,raw_count,row_normalized,total_samples
Physicochemical,XGBoost,Unweighted,Early,Early,17,0.22666666666666666,370
Physicochemical,XGBoost,Unweighted,Early,Late,58,0.7733333333333333,370
Physicochemical,XGBoost,Unweighted,Late,Immediate-Early,1,0.003703703703703704,370
Physicochemical,XGBoost,Unweighted,Late,Early,25,0.09259259259259259,370
Physicochemical,XGBoost,Unweighted,Late,Late,244,0.9037037037037037,370
Physicochemical,XGBoost,Class_Balanced,Immediate-Early,Immediate-Early,11,0.44,370
Physicochemical,XGBoost,Class_Balanced,Immediate-Early,Early,1,0.04,370
Physicochemical,XGBoost,Class_Balanced,Immediate-Early,Late,13,0.52,370
Physicochemical,XGBoost,Class_Balanced,Early,Immediate-Early,0,0.0,370
Physicochemical,XGBoost,Class_Balanced,Early,Early,32,0.4266666666666667,370
Physicochemical,XGBoost,Class_Balanced,Early,Late,43,0.5733333333333334,370
Physicochemical,XGBoost,Class_Balanced,Late,Immediate-Early,13,0.04814814814814815,370
Physicochemical,XGBoost,Class_Balanced,Late,Early,36,0.13333333333333333,370
Physicochemical,XGBoost,Class_Balanced,Late,Late,221,0.8185185185185185,370
ProtBERT,Logistic_Regression,Unweighted,Immediate-Early,Immediate-Early,0,0.0,370
ProtBERT,Logistic_Regression,Unweighted,Immediate-Early,Early,0,0.0,370
ProtBERT,Logistic_Regression,Unweighted,Immediate-Early,Late,25,1.0,370
ProtBERT,Logistic_Regression,Unweighted,Early,Immediate-Early,0,0.0,370
ProtBERT,Logistic_Regression,Unweighted,Early,Early,35,0.4666666666666667,370
ProtBERT,Logistic_Regression,Unweighted,Early,Late,40,0.5333333333333333,370
ProtBERT,Logistic_Regression,Unweighted,Late,Immediate-Early,1,0.003703703703703704,370
ProtBERT,Logistic_Regression,Unweighted,Late,Early,9,0.03333333333333333,370
ProtBERT,Logistic_Regression,Unweighted,Late,Late,260,0.9629629629629629,370
ProtBERT,Logistic_Regression,Class_Balanced,Immediate-Early,Immediate-Early,12,0.48,370
ProtBERT,Logistic_Regression,Class_Balanced,Immediate-Early,Early,0,0.0,370
ProtBERT,Logistic_Regression,Class_Balanced,Immediate-Early,Late,13,0.52,370
ProtBERT,Logistic_Regression,Class_Balanced,Early,Immediate-Early,0,0.0,370
ProtBERT,Logistic_Regression,Class_Balanced,Early,Early,53,0.7066666666666667,370
ProtBERT,Logistic_Regression,Class_Balanced,Early,Late,22,0.29333333333333333,370
ProtBERT,Logistic_Regression,Class_Balanced,Late,Immediate-Early,41,0.15185185185185185,370
ProtBERT,Logistic_Regression,Class_Balanced,Late,Early,25,0.09259259259259259,370
ProtBERT,Logistic_Regression,Class_Balanced,Late,Late,204,0.7555555555555555,370
ProtBERT,SVM_Linear,Unweighted,Immediate-Early,Immediate-Early,0,0.0,370
ProtBERT,SVM_Linear,Unweighted,Immediate-Early,Early,0,0.0,370
ProtBERT,SVM_Linear,Unweighted,Immediate-Early,Late,25,1.0,370
ProtBERT,SVM_Linear,Unweighted,Early,Immediate-Early,0,0.0,370
ProtBERT,SVM_Linear,Unweighted,Early,Early,40,0.5333333333333333,370
ProtBERT,SVM_Linear,Unweighted,Early,Late,35,0.4666666666666667,370
ProtBERT,SVM_Linear,Unweighted,Late,Immediate-Early,2,0.007407407407407408,370
ProtBERT,SVM_Linear,Unweighted,Late,Early,14,0.05185185185185185,370
ProtBERT,SVM_Linear,Unweighted,Late,Late,254,0.9407407407407408,370
ProtBERT,SVM_Linear,Class_Balanced,Immediate-Early,Immediate-Early,18,0.72,370
ProtBERT,SVM_Linear,Class_Balanced,Immediate-Early,Early,0,0.0,370
ProtBERT,SVM_Linear,Class_Balanced,Immediate-Early,Late,7,0.28,370
ProtBERT,SVM_Linear,Class_Balanced,Early,Immediate-Early,0,0.0,370
ProtBERT,SVM_Linear,Class_Balanced,Early,Early,53,0.7066666666666667,370
ProtBERT,SVM_Linear,Class_Balanced,Early,Late,22,0.29333333333333333,370
ProtBERT,SVM_Linear,Class_Balanced,Late,Immediate-Early,47,0.17407407407407408,370
ProtBERT,SVM_Linear,Class_Balanced,Late,Early,17,0.06296296296296296,370
ProtBERT,SVM_Linear,Class_Balanced,Late,Late,206,0.762962962962963,370
ProtBERT,SVM_RBF,Unweighted,Immediate-Early,Immediate-Early,0,0.0,370
ProtBERT,SVM_RBF,Unweighted,Immediate-Early,Early,0,0.0,370
ProtBERT,SVM_RBF,Unweighted,Immediate-Early,Late,25,1.0,370
ProtBERT,SVM_RBF,Unweighted,Early,Immediate-Early,0,0.0,370
ProtBERT,SVM_RBF,Unweighted,Early,Early,0,0.0,370
ProtBERT,SVM_RBF,Unweighted,Early,Late,75,1.0,370
ProtBERT,SVM_RBF,Unweighted,Late,Immediate-Early,0,0.0,370
ProtBERT,SVM_RBF,Unweighted,Late,Early,0,0.0,370
ProtBERT,SVM_RBF,Unweighted,Late,Late,270,1.0,370
ProtBERT,SVM_RBF,Class_Balanced,Immediate-Early,Immediate-Early,21,0.84,370
ProtBERT,SVM_RBF,Class_Balanced,Immediate-Early,Early,0,0.0,370
ProtBERT,SVM_RBF,Class_Balanced,Immediate-Early,Late,4,0.16,370
ProtBERT,SVM_RBF,Class_Balanced,Early,Immediate-Early,26,0.3466666666666667,370
ProtBERT,SVM_RBF,Class_Balanced,Early,Early,40,0.5333333333333333,370
ProtBERT,SVM_RBF,Class_Balanced,Early,Late,9,0.12,370
ProtBERT,SVM_RBF,Class_Balanced,Late,Immediate-Early,207,0.7666666666666667,370
ProtBERT,SVM_RBF,Class_Balanced,Late,Early,38,0.14074074074074075,370
ProtBERT,SVM_RBF,Class_Balanced,Late,Late,25,0.09259259259259259,370
ProtBERT,Random_Forest,Unweighted,Immediate-Early,Immediate-Early,0,0.0,370
ProtBERT,Random_Forest,Unweighted,Immediate-Early,Early,0,0.0,370
ProtBERT,Random_Forest,Unweighted,Immediate-Early,Late,25,1.0,370
ProtBERT,Random_Forest,Unweighted,Early,Immediate-Early,0,0.0,370
ProtBERT,Random_Forest,Unweighted,Early,Early,34,0.4533333333333333,370
ProtBERT,Random_Forest,Unweighted,Early,Late,41,0.5466666666666666,370
ProtBERT,Random_Forest,Unweighted,Late,Immediate-Early,4,0.014814814814814815,370
ProtBERT,Random_Forest,Unweighted,Late,Early,15,0.05555555555555555,370
ProtBERT,Random_Forest,Unweighted,Late,Late,251,0.9296296296296296,370
ProtBERT,Random_Forest,Class_Balanced,Immediate-Early,Immediate-Early,0,0.0,370
ProtBERT,Random_Forest,Class_Balanced,Immediate-Early,Early,0,0.0,370
ProtBERT,Random_Forest,Class_Balanced,Immediate-Early,Late,25,1.0,370
ProtBERT,Random_Forest,Class_Balanced,Early,Immediate-Early,0,0.0,370
ProtBERT,Random_Forest,Class_Balanced,Early,Early,55,0.7333333333333333,370
ProtBERT,Random_Forest,Class_Balanced,Early,Late,20,0.26666666666666666,370
ProtBERT,Random_Forest,Class_Balanced,Late,Immediate-Early,12,0.044444444444444446,370
ProtBERT,Random_Forest,Class_Balanced,Late,Early,16,0.05925925925925926,370
ProtBERT,Random_Forest,Class_Balanced,Late,Late,242,0.8962962962962963,370
ProtBERT,XGBoost,Unweighted,Immediate-Early,Immediate-Early,0,0.0,370
ProtBERT,XGBoost,Unweighted,Immediate-Early,Early,0,0.0,370
ProtBERT,XGBoost,Unweighted,Immediate-Early,Late,25,1.0,370
ProtBERT,XGBoost,Unweighted,Early,Immediate-Early,0,0.0,370
ProtBERT,XGBoost,Unweighted,Early,Early,27,0.36,370
ProtBERT,XGBoost,Unweighted,Early,Late,48,0.64,370
ProtBERT,XGBoost,Unweighted,Late,Immediate-Early,6,0.022222222222222223,370
ProtBERT,XGBoost,Unweighted,Late,Early,12,0.044444444444444446,370
ProtBERT,XGBoost,Unweighted,Late,Late,252,0.9333333333333333,370
ProtBERT,XGBoost,Class_Balanced,Immediate-Early,Immediate-Early,0,0.0,370
ProtBERT,XGBoost,Class_Balanced,Immediate-Early,Early,0,0.0,370
ProtBERT,XGBoost,Class_Balanced,Immediate-Early,Late,25,1.0,370
