representation,model,weighting,true_class,predicted_class,raw_count,row_normalized,total_samples
Combined_Equal_Block,SVM_RBF,Class_Balanced,Immediate-Early,Late,22,0.88,370
Combined_Equal_Block,SVM_RBF,Class_Balanced,Early,Immediate-Early,0,0.0,370
Combined_Equal_Block,SVM_RBF,Class_Balanced,Early,Early,35,0.4666666666666667,370
Combined_Equal_Block,SVM_RBF,Class_Balanced,Early,Late,40,0.5333333333333333,370
Combined_Equal_Block,SVM_RBF,Class_Balanced,Late,Immediate-Early,1,0.003703703703703704,370
Combined_Equal_Block,SVM_RBF,Class_Balanced,Late,Early,22,0.08148148148148149,370
Combined_Equal_Block,SVM_RBF,Class_Balanced,Late,Late,247,0.9148148148148149,370
Combined_Equal_Block,Random_Forest,Unweighted,Immediate-Early,Immediate-Early,0,0.0,370
Combined_Equal_Block,Random_Forest,Unweighted,Immediate-Early,Early,0,0.0,370
Combined_Equal_Block,Random_Forest,Unweighted,Immediate-Early,Late,25,1.0,370
Combined_Equal_Block,Random_Forest,Unweighted,Early,Immediate-Early,0,0.0,370
Combined_Equal_Block,Random_Forest,Unweighted,Early,Early,33,0.44,370
Combined_Equal_Block,Random_Forest,Unweighted,Early,Late,42,0.56,370
Combined_Equal_Block,Random_Forest,Unweighted,Late,Immediate-Early,1,0.003703703703703704,370
Combined_Equal_Block,Random_Forest,Unweighted,Late,Early,13,0.04814814814814815,370
Combined_Equal_Block,Random_Forest,Unweighted,Late,Late,256,0.9481481481481482,370
Combined_Equal_Block,Random_Forest,Class_Balanced,Immediate-Early,Immediate-Early,2,0.08,370
Combined_Equal_Block,Random_Forest,Class_Balanced,Immediate-Early,Early,0,0.0,370
Combined_Equal_Block,Random_Forest,Class_Balanced,Immediate-Early,Late,23,0.92,370
Combined_Equal_Block,Random_Forest,Class_Balanced,Early,Immediate-Early,0,0.0,370
Combined_Equal_Block,Random_Forest,Class_Balanced,Early,Early,54,0.72,370
Combined_Equal_Block,Random_Forest,Class_Balanced,Early,Late,21,0.28,370
Combined_Equal_Block,Random_Forest,Class_Balanced,Late,Immediate-Early,14,0.05185185185185185,370
Combined_Equal_Block,Random_Forest,Class_Balanced,Late,Early,18,0.06666666666666667,370
Combined_Equal_Block,Random_Forest,Class_Balanced,Late,Late,238,0.8814814814814815,370
Combined_Equal_Block,XGBoost,Unweighted,Immediate-Early,Immediate-Early,0,0.0,370
Combined_Equal_Block,XGBoost,Unweighted,Immediate-Early,Early,0,0.0,370
Combined_Equal_Block,XGBoost,Unweighted,Immediate-Early,Late,25,1.0,370
Combined_Equal_Block,XGBoost,Unweighted,Early,Immediate-Early,0,0.0,370
Combined_Equal_Block,XGBoost,Unweighted,Early,Early,26,0.3466666666666667,370
Combined_Equal_Block,XGBoost,Unweighted,Early,Late,49,0.6533333333333333,370
Combined_Equal_Block,XGBoost,Unweighted,Late,Immediate-Early,5,0.018518518518518517,370
Combined_Equal_Block,XGBoost,Unweighted,Late,Early,13,0.04814814814814815,370
Combined_Equal_Block,XGBoost,Unweighted,Late,Late,252,0.9333333333333333,370
Combined_Equal_Block,XGBoost,Class_Balanced,Immediate-Early,Immediate-Early,0,0.0,370
Combined_Equal_Block,XGBoost,Class_Balanced,Immediate-Early,Early,0,0.0,370
Combined_Equal_Block,XGBoost,Class_Balanced,Immediate-Early,Late,25,1.0,370
Combined_Equal_Block,XGBoost,Class_Balanced,Early,Immediate-Early,0,0.0,370
Combined_Equal_Block,XGBoost,Class_Balanced,Early,Early,37,0.49333333333333335,370
Combined_Equal_Block,XGBoost,Class_Balanced,Early,Late,38,0.5066666666666667,370
Combined_Equal_Block,XGBoost,Class_Balanced,Late,Immediate-Early,14,0.05185185185185185,370
Combined_Equal_Block,XGBoost,Class_Balanced,Late,Early,17,0.06296296296296296,370
Combined_Equal_Block,XGBoost,Class_Balanced,Late,Late,239,0.8851851851851852,370
