representation,model,weighting,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,precision_macro_mean,precision_macro_std,precision_macro_min,precision_macro_max,recall_macro_mean,recall_macro_std,recall_macro_min,recall_macro_max,f1_macro_mean,f1_macro_std,f1_macro_min,f1_macro_max,f1_weighted_mean,f1_weighted_std,f1_weighted_min,f1_weighted_max,mcc_mean,mcc_std,mcc_min,mcc_max,precision_IE_mean,precision_IE_std,precision_IE_min,precision_IE_max,recall_IE_mean,recall_IE_std,recall_IE_min,recall_IE_max,f1_IE_mean,f1_IE_std,f1_IE_min,f1_IE_max,precision_Early_mean,precision_Early_std,precision_Early_min,precision_Early_max,recall_Early_mean,recall_Early_std,recall_Early_min,recall_Early_max,f1_Early_mean,f1_Early_std,f1_Early_min,f1_Early_max,precision_Late_mean,precision_Late_std,precision_Late_min,precision_Late_max,recall_Late_mean,recall_Late_std,recall_Late_min,recall_Late_max,f1_Late_mean,f1_Late_std,f1_Late_min,f1_Late_max
Combined_Equal_Block,Logistic_Regression,Class_Balanced,0.7651428571428572,0.0976260160114484,0.5714285714285714,0.9333333333333333,0.7586262626262625,0.15627089664027258,0.4222222222222222,0.9696969696969697,0.6750389610389611,0.13091861529579626,0.3833333333333333,0.9722222222222222,0.7586262626262625,0.15627089664027258,0.4222222222222222,0.9696969696969697,0.6841092057172822,0.13263424351226621,0.38888888888888884,0.9365079365079364,0.7712718474381872,0.0913419145152413,0.5833333333333333,0.9365079365079365,0.533105361971496,0.20096094959828936,0.1301433441770828,0.8634624345543498,0.5099999999999999,0.3806062415556412,0.0,1.0,0.8,0.408248290463863,0.0,1.0,0.5893333333333333,0.36511286940808785,0.0,1.0,0.6238095238095238,0.27602451225951435,0.0,1.0,0.6933333333333332,0.2873892701417236,0.0,1.0,0.6375238095238095,0.2474246413290525,0.0,1.0,0.8913073593073593,0.08372465084998827,0.75,1.0,0.7825454545454545,0.12933715310595684,0.5454545454545454,1.0,0.8254704742947037,0.0789192213183895,0.6666666666666666,0.9565217391304348
Combined_Equal_Block,Logistic_Regression,Unweighted,0.7455238095238095,0.06110719426738598,0.6428571428571429,0.8666666666666667,0.4112323232323233,0.08492326750947948,0.3,0.5555555555555555,0.4056579716579716,0.1531437705530962,0.23076923076923075,0.6153846153846154,0.4112323232323233,0.08492326750947948,0.3,0.5555555555555555,0.39168558733409986,0.10593658258233805,0.2608695652173913,0.5722222222222223,0.6822795318284566,0.0792801881271742,0.5590062111801243,0.8322222222222222,0.22205069591696344,0.2512555850611493,-0.14803422705323474,0.6579490028442165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4493333333333333,0.4236219488595409,0.0,1.0,0.29333333333333333,0.27755546659548436,0.0,0.6666666666666666,0.33219047619047615,0.2966628448886294,0.0,0.8,0.7676405816405817,0.04572873017729213,0.6923076923076923,0.8461538461538461,0.9403636363636363,0.07727629225288062,0.7,1.0,0.8428662858118235,0.041044072217263035,0.7368421052631579,0.9166666666666666
Combined_Equal_Block,Random_Forest,Class_Balanced,0.7937142857142857,0.07972600471404799,0.5714285714285714,0.9333333333333333,0.5603636363636363,0.1278826308857075,0.41111111111111115,0.9393939393939394,0.5596178636178636,0.1001286188400655,0.3833333333333333,0.8030303030303031,0.5603636363636363,0.1278826308857075,0.41111111111111115,0.9393939393939394,0.5472343057908275,0.10524499917349447,0.38888888888888884,0.8079365079365078,0.7784536065177059,0.07768465112665583,0.5833333333333333,0.9014492753623189,0.5028984894398674,0.18065996663640144,0.16757831697804315,0.8387237011128936,0.04,0.13844373104863458,0.0,0.5,0.08,0.27688746209726917,0.0,1.0,0.05333333333333333,0.18459164139817943,0.0,0.6666666666666666,0.7926666666666666,0.20418537329266923,0.4,1.0,0.7199999999999999,0.2293307493394477,0.3333333333333333,1.0,0.728190476190476,0.17947875313503975,0.4,1.0,0.8461869241869243,0.06288600549427227,0.75,1.0,0.8810909090909089,0.09318810030560495,0.6,1.0,0.860179107848673,0.06047267246969941,0.6666666666666666,0.9565217391304348
Combined_Equal_Block,Random_Forest,Unweighted,0.7803809523809524,0.06496292331704058,0.6428571428571429,0.8666666666666667,0.4625454545454546,0.10097260246721286,0.30303030303030304,0.6363636363636364,0.45984977984977987,0.15198099232871717,0.2380952380952381,0.6153846153846154,0.4625454545454546,0.10097260246721286,0.30303030303030304,0.6363636363636364,0.4456245025251891,0.11783640090051993,0.26666666666666666,0.5887445887445887,0.725328660973983,0.08932203112289931,0.5866666666666667,0.8380952380952381,0.3535600477179676,0.26717226719806714,-0.13644420572745383,0.6816892205569908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5826666666666667,0.41207132608054364,0.0,1.0,0.44,0.32942149067496873,0.0,1.0,0.47409523809523807,0.3268880271789182,0.0,0.8571428571428571,0.796882672882673,0.057736173849633546,0.7142857142857143,0.9090909090909091,0.9476363636363636,0.07377465502811861,0.7,1.0,0.8627782694803288,0.042107879513926326,0.7368421052631579,0.9166666666666666
Combined_Equal_Block,SVM_Linear,Class_Balanced,0.7594285714285715,0.08570458498897848,0.5714285714285714,0.9333333333333333,0.7326464646464647,0.1808028421263915,0.41111111111111115,0.9696969696969697,0.6407378547378548,0.14537830863108372,0.3833333333333333,0.9722222222222222,0.7326464646464647,0.1808028421263915,0.41111111111111115,0.9696969696969697,0.6568683728489895,0.14765161676481628,0.38888888888888884,0.9365079365079364,0.7642950557381263,0.08223468362076591,0.5833333333333333,0.9365079365079365,0.5170133611145076,0.18829762172431647,0.16757831697804315,0.8634624345543498,0.42,0.36362373715452384,0.0,1.0,0.68,0.4760952285695233,0.0,1.0,0.49999999999999994,0.38188130791298663,0.0,1.0,0.6078095238095238,0.17281395673739744,0.3333333333333333,1.0,0.7466666666666666,0.24113927126900783,0.3333333333333333,1.0,0.6495238095238095,0.15838106453240786,0.3333333333333333,0.8571428571428571,0.8944040404040403,0.0864859875249128,0.75,1.0,0.7712727272727272,0.1122239496543989,0.5454545454545454,1.0,0.8210813090231585,0.06903521537597518,0.6666666666666666,0.9565217391304348
Combined_Equal_Block,SVM_Linear,Unweighted,0.7428571428571429,0.07134916220843666,0.6,0.8666666666666667,0.4574545454545455,0.12134193385529875,0.27272727272727276,0.8282828282828283,0.47730099530099535,0.14393734584473358,0.23076923076923075,0.6888888888888888,0.4574545454545455,0.12134193385529875,0.27272727272727276,0.8282828282828283,0.44639825051632825,0.11661622328928864,0.25,0.7301587301587301,0.7074557010836319,0.08211439635136443,0.55,0.8380952380952381,0.2978404987374383,0.2433300755180285,-0.1684303842133038,0.6816892205569908,0.02,0.1,0.0,0.5,0.04,0.2,0.0,1.0,0.026666666666666665,0.13333333333333333,0.0,0.6666666666666666,0.6226666666666666,0.377794525772547,0.0,1.0,0.44,0.30000000000000004,0.0,1.0,0.47809523809523813,0.27800444266884117,0.0,0.8571428571428571,0.7892363192363193,0.05989842229939388,0.6923076923076923,0.9090909090909091,0.8923636363636362,0.08396509835072445,0.7,1.0,0.8344328467870803,0.048119154015739636,0.7368421052631579,0.9090909090909091
Combined_Equal_Block,SVM_RBF,Class_Balanced,0.7702857142857144,0.08250472397661876,0.6,1.0,0.5004040404040404,0.16067301613462637,0.27272727272727276,1.0,0.5066187886187886,0.1935748597843485,0.23076923076923075,1.0,0.5004040404040404,0.16067301613462637,0.27272727272727276,1.0,0.48735652895286763,0.16937281846907917,0.25,1.0,0.7298294510052077,0.09489886064495613,0.55,1.0,0.36520769579727586,0.2719358734934319,-0.2002453486917181,1.0,0.12,0.33166247903553997,0.0,1.0,0.12,0.33166247903553997,0.0,1.0,0.12,0.33166247903553997,0.0,1.0,0.596,0.337758131738609,0.0,1.0,0.4666666666666666,0.3042903097250923,0.0,1.0,0.48914285714285716,0.2693197107082282,0.0,1.0,0.8038563658563659,0.06603423626615938,0.6923076923076923,1.0,0.9145454545454544,0.08135390156762909,0.7,1.0,0.8529267297157458,0.05464833579307842,0.7368421052631579,1.0
Combined_Equal_Block,SVM_RBF,Unweighted,0.7213333333333333,0.024938321496498824,0.6428571428571429,0.7333333333333333,0.3422626262626263,0.03990184535662899,0.3,0.48888888888888893,0.26447374847374844,0.0611887058166423,0.23076923076923075,0.43333333333333335,0.3422626262626263,0.03990184535662899,0.3,0.48888888888888893,0.29678887296278605,0.04979828076036084,0.2608695652173913,0.45714285714285713,0.62089434926702,0.03118333176126428,0.5590062111801243,0.6938775510204082,0.014974039646545778,0.10650556210698575,-0.14803422705323474,0.33756997551928847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.16583123951776998,0.0,0.5,0.05333333333333333,0.1575271875417536,0.0,0.6666666666666666,0.054857142857142854,0.1542857142857143,0.0,0.5714285714285714,0.7334212454212455,0.020935083410356808,0.6923076923076923,0.8,0.9734545454545455,0.05221802143978073,0.8,1.0,0.8355094760312152,0.018728077249229456,0.782608695652174,0.8461538461538461
Combined_Equal_Block,XGBoost,Class_Balanced,0.7455238095238095,0.07954044118449836,0.6,0.9333333333333333,0.4594747474747474,0.10341140646881455,0.27272727272727276,0.6666666666666666,0.4733046213046213,0.13765175528777365,0.23076923076923075,0.6388888888888888,0.4594747474747474,0.10341140646881455,0.27272727272727276,0.6666666666666666,0.4502216794288405,0.11073024698967827,0.25,0.6521739130434783,0.7128781938152783,0.08872688692721525,0.55,0.9014492753623189,0.3163353071392702,0.25955741667359605,-0.14803422705323474,0.8387237011128936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6233333333333333,0.371994125799897,0.0,1.0,0.4933333333333333,0.334995854037363,0.0,1.0,0.5169523809523809,0.30309589271615983,0.0,1.0,0.7965805305805307,0.06243906773138901,0.6923076923076923,0.9166666666666666,0.885090909090909,0.10304857235528696,0.6,1.0,0.8337126573341408,0.057225079437828646,0.7058823529411765,0.9565217391304348
Combined_Equal_Block,XGBoost,Unweighted,0.7508571428571428,0.08308034159466378,0.6,0.9333333333333333,0.42658585858585857,0.10429332469088023,0.3,0.6666666666666666,0.4394615014615015,0.16114666813946407,0.23076923076923075,0.6388888888888888,0.42658585858585857,0.10429332469088023,0.3,0.6666666666666666,0.4137017836981224,0.11969255803977322,0.2608695652173913,0.6521739130434783,0.6964802431943852,0.09657869500759853,0.5590062111801243,0.9014492753623189,0.2645574669187094,0.29198372833027364,-0.14803422705323474,0.8387237011128936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5426666666666666,0.43861841173292204,0.0,1.0,0.3466666666666666,0.31150768375280413,0.0,1.0,0.3963809523809524,0.3216380269933319,0.0,1.0,0.7757178377178378,0.05938211382551112,0.6923076923076923,0.9166666666666666,0.9330909090909091,0.08413716991248009,0.7,1.0,0.8447243987134148,0.0550278219747424,0.7272727272727273,0.9565217391304348
