representation,K,seed_1,seed_2,assignment_ARI
ProtBERT,6,42,789,0.5782062384483108
ProtBERT,6,42,2026,0.5156659122176364
ProtBERT,6,123,456,0.9569841317182343
ProtBERT,6,123,789,0.5650283161125393
ProtBERT,6,123,2026,0.5017576698319941
ProtBERT,6,456,789,0.5613040101269087
ProtBERT,6,456,2026,0.4976812499277198
ProtBERT,6,789,2026,0.9088767023380412
ProtBERT,7,42,123,0.6487589200084527
ProtBERT,7,42,456,0.782211484550241
ProtBERT,7,42,789,0.5222073753818622
ProtBERT,7,42,2026,0.5375737656578169
ProtBERT,7,123,456,0.8096497655411959
ProtBERT,7,123,789,0.6927200581926494
ProtBERT,7,123,2026,0.49149749052308095
ProtBERT,7,456,789,0.6252339843690873
ProtBERT,7,456,2026,0.4680014341617598
ProtBERT,7,789,2026,0.6810766100490016
ProtBERT,8,42,123,0.5252840068902366
ProtBERT,8,42,456,0.8870980926177414
ProtBERT,8,42,789,0.6160899975322357
ProtBERT,8,42,2026,0.8142698342800077
ProtBERT,8,123,456,0.542617257083824
ProtBERT,8,123,789,0.7027903491302796
ProtBERT,8,123,2026,0.5883139144794287
ProtBERT,8,456,789,0.6189532323639342
ProtBERT,8,456,2026,0.7895304943303088
ProtBERT,8,789,2026,0.5259972363325639
ProtBERT,9,42,123,0.592150443787429
ProtBERT,9,42,456,0.6084198195725334
ProtBERT,9,42,789,0.6174710773578
ProtBERT,9,42,2026,0.7870374617956202
ProtBERT,9,123,456,0.5370490425454056
ProtBERT,9,123,789,0.6682057332875814
ProtBERT,9,123,2026,0.5564485227889109
ProtBERT,9,456,789,0.4613449953025729
ProtBERT,9,456,2026,0.5660746760688283
ProtBERT,9,789,2026,0.6178219810214114
ProtBERT,10,42,123,0.5890344534361718
ProtBERT,10,42,456,0.9016721821264017
ProtBERT,10,42,789,0.5234992999543077
ProtBERT,10,42,2026,0.7534538581730124
ProtBERT,10,123,456,0.5374831217173319
ProtBERT,10,123,789,0.8016656893742597
ProtBERT,10,123,2026,0.5613917602070511
ProtBERT,10,456,789,0.57306320720165
ProtBERT,10,456,2026,0.7741485926344752
ProtBERT,10,789,2026,0.5688048092515718
Combined_Feature_Standardized,2,42,123,1.0
Combined_Feature_Standardized,2,42,456,1.0
Combined_Feature_Standardized,2,42,789,1.0
Combined_Feature_Standardized,2,42,2026,1.0
Combined_Feature_Standardized,2,123,456,1.0
Combined_Feature_Standardized,2,123,789,1.0
Combined_Feature_Standardized,2,123,2026,1.0
Combined_Feature_Standardized,2,456,789,1.0
Combined_Feature_Standardized,2,456,2026,1.0
Combined_Feature_Standardized,2,789,2026,1.0
Combined_Feature_Standardized,3,42,123,1.0
Combined_Feature_Standardized,3,42,456,1.0
Combined_Feature_Standardized,3,42,789,1.0
Combined_Feature_Standardized,3,42,2026,0.9553969116251949
