representation,component,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio
Combined,38,3.52345,0.003313,0.95559
Combined,39,3.14058,0.002953,0.958543
Combined,40,2.990364,0.002812,0.961355
Combined,41,2.961468,0.002785,0.96414
Combined,42,2.719521,0.002557,0.966698
Combined,43,2.552498,0.0024,0.969098
Combined,44,2.452974,0.002307,0.971405
Combined,45,2.356323,0.002216,0.973621
Combined,46,2.223874,0.002091,0.975712
Combined,47,2.096311,0.001971,0.977684
Combined,48,1.922512,0.001808,0.979491
Combined,49,1.864116,0.001753,0.981245
Combined,50,1.741529,0.001638,0.982882
Combined,51,1.613803,0.001518,0.9844
Combined,52,1.546417,0.001454,0.985854
Combined,53,1.372436,0.001291,0.987145
Combined,54,1.314982,0.001237,0.988381
Combined,55,1.265211,0.00119,0.989571
Combined,56,1.165487,0.001096,0.990667
Combined,57,1.118691,0.001052,0.991719
Combined,58,1.015008,0.000955,0.992674
Combined,59,0.951723,0.000895,0.993569
Combined,60,0.897746,0.000844,0.994413
Combined,61,0.78264,0.000736,0.995149
Combined,62,0.775982,0.00073,0.995879
Combined,63,0.648246,0.00061,0.996488
Combined,64,0.510826,0.00048,0.996969
Combined,65,0.497832,0.000468,0.997437
Combined,66,0.493685,0.000464,0.997901
Combined,67,0.453867,0.000427,0.998328
Combined,68,0.379203,0.000357,0.998685
Combined,69,0.340687,0.00032,0.999005
Combined,70,0.30133,0.000283,0.999288
Combined,71,0.287689,0.000271,0.999559
Combined,72,0.242886,0.000228,0.999787
Combined,73,0.226121,0.000213,1.0
Combined,74,0.0,0.0,1.0
