feature,count,mean,std,min,25%,median,75%,max,subset
sequence_length,74.0,522.9459459459459,441.76544609883325,88.0,245.0,405.5,688.75,3139.0,All Proteins (N=74)
molecular_weight,74.0,56458.950956757006,47210.13838461227,9201.673799999999,25625.771624999976,43118.80060000002,74020.48267500038,333438.1327000056,All Proteins (N=74)
aromaticity,74.0,0.06909191142339068,0.021768720466004487,0.006211180124223602,0.05692299937834977,0.0692944892944893,0.08120780195048763,0.13513513513513514,All Proteins (N=74)
instability_index,74.0,51.43137179520306,11.181032563676542,31.681428571428558,42.7698752834468,52.328958178012265,57.657783248081834,95.54444444444442,All Proteins (N=74)
isoelectric_point,74.0,7.757939385079049,1.8021657215683011,4.850378227233886,6.099727630615234,7.67732219696045,9.187582874298098,11.7960542678833,All Proteins (N=74)
aa_A,74.0,0.11921130906390331,0.02960209726354923,0.052083333333333336,0.09884798930058665,0.11754142429049885,0.13742869878901445,0.20878274268104777,All Proteins (N=74)
aa_C,74.0,0.019818376849943302,0.011130283651532291,0.0,0.012467869308602041,0.018129783537587454,0.02560719843041743,0.054945054945054944,All Proteins (N=74)
aa_D,74.0,0.0512126592041533,0.015098801311091672,0.014792899408284023,0.043366695399546656,0.05033785326211021,0.05966787813176616,0.08461538461538462,All Proteins (N=74)
aa_E,74.0,0.04578974080972487,0.011844051884347367,0.010869565217391304,0.03929018415876989,0.044918685471354344,0.053741694636618945,0.06904761904761905,All Proteins (N=74)
aa_F,74.0,0.032143826057512315,0.014973301146097214,0.0,0.02330123546511628,0.030722038697498823,0.04263327032136106,0.08108108108108109,All Proteins (N=74)
aa_G,74.0,0.0791476390785245,0.022057653443753055,0.04054054054054054,0.06656251157850536,0.07542429126765904,0.08755818226359627,0.17582417582417584,All Proteins (N=74)
aa_H,74.0,0.026038328492064142,0.009985756172926333,0.0,0.020811396327178378,0.025162508969650922,0.030169339959023354,0.0641025641025641,All Proteins (N=74)
aa_I,74.0,0.030025451474169063,0.014275864399424052,0.0,0.019516129032258064,0.0301117074700394,0.03805418719211823,0.06764705882352941,All Proteins (N=74)
aa_K,74.0,0.016088005018138576,0.01119539933828525,0.0,0.008556310393878452,0.013629608990433733,0.023015454864769934,0.05204460966542751,All Proteins (N=74)
aa_L,74.0,0.09492437344754202,0.025161646015113753,0.018633540372670808,0.07974837662337662,0.09750537446664556,0.1111111111111111,0.16304347826086957,All Proteins (N=74)
aa_M,74.0,0.019047446499363036,0.009067491410938938,0.004032258064516129,0.012800893374141782,0.017649799645885752,0.021810328460224036,0.05555555555555555,All Proteins (N=74)
aa_N,74.0,0.02213955111061763,0.010154336562665078,0.006211180124223602,0.014898757847792979,0.02022318766504813,0.027611795010033843,0.05357142857142857,All Proteins (N=74)
aa_P,74.0,0.09311539282494645,0.03625548025360117,0.044444444444444446,0.06642578580498043,0.08519548379509065,0.11507161458333333,0.2422360248447205,All Proteins (N=74)
aa_Q,74.0,0.029231756885852125,0.01007914762972035,0.0,0.023536669720139836,0.029411764705882353,0.03594914226303934,0.05357142857142857,All Proteins (N=74)
aa_R,74.0,0.0884902628391585,0.024788872039000945,0.05167173252279635,0.07284648446575284,0.08105778191985089,0.1024267558694787,0.19254658385093168,All Proteins (N=74)
aa_S,74.0,0.06404998699731093,0.01976096989389537,0.02197802197802198,0.052258668954307384,0.061224489795918366,0.07744553471081525,0.13333333333333333,All Proteins (N=74)
aa_T,74.0,0.061570132151987145,0.018023755789575897,0.02197802197802198,0.04993599966426053,0.06008564990600919,0.0709808993235177,0.12605042016806722,All Proteins (N=74)
aa_V,74.0,0.0710076758292104,0.018638687490052236,0.0319634703196347,0.059171410499683746,0.06721668424454802,0.07916963015647226,0.13043478260869565,All Proteins (N=74)
aa_W,74.0,0.01193816513942079,0.007159501639777551,0.0,0.006623322384741473,0.01093189964157706,0.016177179072925794,0.03488372093023256,All Proteins (N=74)
aa_Y,74.0,0.02500992022645757,0.011191043495776142,0.0,0.01570116039885721,0.025305889079473988,0.03263348164627364,0.0507399577167019,All Proteins (N=74)
sequence_length,5.0,618.6,452.32377784060833,88.0,420.0,512.0,775.0,1298.0,Immediate-Early (N=5)
molecular_weight,5.0,64581.36954000029,45488.823806768414,9792.904099999989,46524.26270000013,55222.440500000055,78455.71410000061,132911.52630000067,Immediate-Early (N=5)
aromaticity,5.0,0.04254863987104111,0.01000657936795672,0.02967741935483871,0.03409090909090909,0.04776579352850539,0.048828125,0.052380952380952375,Immediate-Early (N=5)
instability_index,5.0,61.70124850854328,6.2779645038672856,55.9728890600928,57.14999999999998,58.35187096774227,68.39238095238112,68.6391015625002,Immediate-Early (N=5)
isoelectric_point,5.0,6.8055318832397464,0.943566063358236,6.095265769958496,6.122889518737792,6.482509803771973,6.951374626159668,8.375619697570801,Immediate-Early (N=5)
aa_A,5.0,0.13126411338399618,0.04765506481784569,0.0880952380952381,0.10227272727272728,0.115234375,0.14193548387096774,0.20878274268104777,Immediate-Early (N=5)
