,sequence_length,molecular_weight,aromaticity,instability_index,isoelectric_point,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y
aa_F,0.3281623707040776,0.3368382080710848,0.7602425786404541,-0.5245316549426139,-0.16496112550907072,-0.1848824121996477,0.15193116523199182,0.0685084672989333,0.026790077748981858,1.0,-0.0998008130409666,0.20860731001635996,0.17606812291743798,0.3665274446727725,0.3991588238452549,0.029293071404515793,0.44337652721214366,-0.6314846353202518,0.0429190270204203,-0.289378591347414,-0.15305782435078272,0.07823768974453905,0.10541437119810096,-0.11461958901282043,0.27655352174112635
aa_G,0.12777679047449797,0.10953061481688514,-0.19628576506131154,-0.1241475316400687,0.059756088532467756,0.2949195465363312,-0.04044517834642565,-0.09876488359694331,-0.20586601900615473,-0.0998008130409666,1.0,0.023295593386645018,-0.16980503373315373,-0.39785726939446786,-0.20441620757064155,-0.12247497186185652,-0.2416308154884124,0.19659530985588836,0.02382927047045144,-0.03158900234819696,-0.23749685295023382,-0.34600774534636347,0.028701118870513697,-0.020735057867768327,-0.24401874903480608
aa_H,0.043947662666795353,0.046324269894304555,0.2756966093361625,-0.1216160180217484,0.02713109413246993,-0.13885638967462938,0.17556980584393467,-0.11940287455805815,-0.15545583794134107,0.20860731001635996,0.023295593386645018,1.0,0.1283987915548659,0.1087565599425909,0.023132687139185964,0.29567483913818676,0.2817664830591555,-0.1018896984887517,0.055708181852123756,-0.24956681427069294,-0.1057943648442497,0.1652449499618447,-0.24927802378448824,-0.13809650797663747,0.33298283547828145
aa_I,-0.059533946939410255,-0.044827841540170305,0.3538419388615247,-0.1942835986671603,-0.03123287671232877,-0.34990521892350823,0.2596113974575316,-0.12715384786611356,-0.07438726397630507,0.17606812291743798,-0.16980503373315373,0.1283987915548659,1.0,0.3841765991405202,0.09362527675396808,0.01731223481894791,0.25648278415401704,-0.3389411329137357,0.20951534687987786,-0.23376873410537,-0.035928232402031815,0.10921880784894483,0.0421627865694006,-0.09915727464024199,0.41988033888853027
aa_K,0.25220250550597617,0.2613586375715084,0.31353784661234174,-0.09651464571657505,-0.02624404077445945,-0.37915865140906535,0.1542879035076012,0.20272967721808022,0.31300204925925046,0.3665274446727725,-0.39785726939446786,0.1087565599425909,0.3841765991405202,1.0,-0.05890504491369971,-0.042381994579416646,0.3110607904554931,-0.38213160895030257,0.1198586453178385,-0.12626519539322056,0.15873477561117025,0.38866668629730233,-0.13242248530412756,-0.17979728827918565,0.22653788415892995
aa_L,0.16770333511047925,0.17568438122940894,0.3720010662875422,-0.37501943739967314,-0.11086346437523015,0.008160122031812718,0.13644138707638942,-0.09032344055446952,-0.1546845959657065,0.3991588238452549,-0.20441620757064155,0.023132687139185964,0.09362527675396808,-0.05890504491369971,1.0,0.04269593033588057,0.13252967441810506,-0.5277047590278621,0.007242084064667965,-0.14315016253993054,-0.43166772808074955,-0.10070418885273377,0.30360541145767084,0.10342350649330445,0.2537190755880499
aa_M,-0.32188555180380307,-0.3190249465096457,0.056424382441798475,-0.11883094284622585,-0.0388599693455255,-0.23268936000697174,0.06869460262171197,-0.14888039808068243,0.041111004155174845,0.029293071404515793,-0.12247497186185652,0.29567483913818676,0.01731223481894791,-0.042381994579416646,0.04269593033588057,1.0,0.24559974528437306,-0.15860909744305568,-0.044970528143894226,-0.14556413693409656,-0.0748263554722699,0.11521743959915716,0.014720800906754703,-0.1113768822611556,0.05211518952803803
aa_N,0.21639553051708027,0.22967789707515734,0.42420158610260383,-0.15222510181414292,-0.019296556830803405,-0.45229844208502407,0.0159350749380664,0.04912291094478204,-0.020836727138097002,0.44337652721214366,-0.2416308154884124,0.2817664830591555,0.25648278415401704,0.3110607904554931,0.13252967441810506,0.24559974528437306,1.0,-0.31204738985560904,0.08723018259153746,-0.20577868611936118,-0.034950794917063106,0.3387041836356905,0.03771992180971665,-0.13692442181464334,0.3239292696285561
aa_P,-0.20702115529005374,-0.21871899296556832,-0.5753763448980018,0.576482784154017,0.09266197704553869,0.09147858540189234,-0.21870742257004144,-0.07265511036933998,-0.09894113291373566,-0.6314846353202518,0.19659530985588836,-0.1018896984887517,-0.3389411329137357,-0.38213160895030257,-0.5277047590278621,-0.15860909744305568,-0.31204738985560904,1.0,-0.1435077197473681,0.1371068064838464,0.21457714726835903,-0.0373639392817475,-0.2142053196135617,0.21730179738933988,-0.4290474498426781
aa_Q,0.14793696875658138,0.1441445445099209,-0.02814638193231384,-0.201266244723089,-0.11139990381214683,0.022348437169973347,-0.2127840762356475,-0.04662184179054142,0.05950609060319143,0.0429190270204203,0.02382927047045144,0.055708181852123756,0.20951534687987786,0.1198586453178385,0.007242084064667965,-0.044970528143894226,0.08723018259153746,-0.1435077197473681,1.0,-0.16710233041007905,-0.09986522712547967,0.1324743604891855,-0.0698888502353242,-0.47089230103335733,0.11726635222786545
aa_R,-0.2381985531028598,-0.22897044016491136,-0.44807363363613373,0.3297938511113389,0.477770866707212,-0.08236452764243295,-0.11132502998978126,0.3737513606476544,0.11093833304930799,-0.289378591347414,-0.03158900234819696,-0.24956681427069294,-0.23376873410537,-0.12626519539322056,-0.14315016253993054,-0.14556413693409656,-0.20577868611936118,0.1371068064838464,-0.16710233041007905,1.0,0.0258062127446077,-0.08675433920742841,-0.2819113487256194,0.017832281810797032,-0.37101432104616205
aa_S,-0.11579017521225972,-0.11864017715279344,-0.17348162850117163,0.5155094153678176,-0.02926388591360877,-0.26142396979501586,0.08795586656540896,-0.008893265999227724,0.06853910121871527,-0.15305782435078272,-0.23749685295023382,-0.1057943648442497,-0.035928232402031815,0.15873477561117025,-0.43166772808074955,-0.0748263554722699,-0.034950794917063106,0.21457714726835903,-0.09986522712547967,0.0258062127446077,1.0,0.0845335327909306,-0.1368062497723464,-0.07583219182244427,-0.08426820689630864
