seed_set,representation,model,weighting,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,recall_IE_mean,recall_IE_std,f1_IE_mean,f1_IE_std,recall_Early_mean,recall_Early_std,recall_Late_mean,recall_Late_std
Original_Seeds,Physicochemical,Logistic_Regression,Class_Balanced,0.5891891891891892,0.061631104059412835,0.5864197530864198,0.06704851776278772,0.5389695118219521,0.06472478808318148,0.1867865946261699,0.10117281094377115,0.72,0.10954451150103325,0.6013986013986014,0.0941678782131662,0.4133333333333333,0.09888264649460884,0.6259259259259259,0.060575656421467124
Original_Seeds,ProtBERT,Logistic_Regression,Class_Balanced,0.727027027027027,0.024173707864862577,0.6474074074074074,0.04038943182718304,0.600187222542343,0.029038523175513285,0.4352236776795146,0.047814777314654736,0.4800000000000001,0.1095445115010332,0.3071428571428571,0.06056236829512812,0.7066666666666667,0.059628479399994425,0.7555555555555555,0.02414519409334316
Original_Seeds,Combined_Equal_Block,Logistic_Regression,Class_Balanced,0.7648648648648648,0.022612433149569608,0.7582716049382715,0.019547541692540617,0.680919116383472,0.024270030635077496,0.5139357537128623,0.03480439805102631,0.8,0.0,0.5609523809523809,0.06427689533865505,0.6933333333333332,0.07601169500660922,0.7814814814814814,0.04014719146051633
Original_Seeds,Combined_Equal_Block,SVM_Linear,Class_Balanced,0.7594594594594595,0.022204968547506747,0.7323456790123457,0.03320046679303037,0.6708904601018091,0.02972127054907744,0.5064972181367566,0.032541039437560954,0.68,0.10954451150103325,0.5348051948051948,0.08660259447695108,0.7466666666666667,0.055777335102271744,0.7703703703703704,0.036099238314107274
Original_Seeds,Physicochemical,Random_Forest,Class_Balanced,0.6864864864864864,0.05001825817113985,0.6298765432098766,0.04389579046637144,0.595568660316822,0.05646894657448576,0.33609025434731377,0.09161324130771212,0.6,0.0,0.5271128871128872,0.07901250410797879,0.5599999999999999,0.10110500592068732,0.7296296296296296,0.051719407569514604
Independent_Sensitivity_Seeds,Physicochemical,Logistic_Regression,Class_Balanced,0.5675675675675675,0.05967405990762059,0.5306172839506174,0.0692041108753553,0.5018062757014833,0.06157653135403085,0.13349058150306775,0.08801321050559131,0.6,0.14142135623730953,0.5345299145299145,0.09537021611131613,0.3733333333333333,0.0365148371670111,0.6185185185185185,0.0687932430407656
Independent_Sensitivity_Seeds,ProtBERT,Logistic_Regression,Class_Balanced,0.7567567567567568,0.025281468829553667,0.7101234567901236,0.07048615123286714,0.6438810256757896,0.039632091976295636,0.5022245309309096,0.061920115898908154,0.5999999999999999,0.2,0.3970940170940171,0.07889587990247339,0.76,0.05962847939999443,0.7703703703703704,0.028084723866857602
Independent_Sensitivity_Seeds,Combined_Equal_Block,Logistic_Regression,Class_Balanced,0.7405405405405406,0.020043779694853145,0.7535802469135803,0.017428845917610652,0.6650156099205928,0.02087356571862963,0.48759228480199673,0.03354231501964947,0.8,0.0,0.5649816849816849,0.034010352861431,0.72,0.05577733510227173,0.7407407407407407,0.02928034870526278
Independent_Sensitivity_Seeds,Combined_Equal_Block,SVM_Linear,Class_Balanced,0.7540540540540541,0.022204968547506736,0.7234567901234568,0.029668184791846654,0.663330985910485,0.02271160836859546,0.4905904374826046,0.033239298382294565,0.68,0.10954451150103325,0.5311421911421912,0.057273348680233975,0.72,0.05577733510227173,0.7703703703703704,0.03364055948997212
Independent_Sensitivity_Seeds,Physicochemical,Random_Forest,Class_Balanced,0.7081081081081082,0.03254485021295214,0.6293827160493828,0.04606443999682076,0.6229446493890587,0.048221212883749004,0.33248328882244077,0.07067785458488554,0.64,0.08944271909999162,0.6336363636363636,0.09873162555279603,0.4666666666666667,0.08164965809277258,0.7814814814814814,0.03312693299999687
