Representation,Evaluation_Setting,K,Silhouette_Score,Calinski_Harabasz,Davies_Bouldin,Temporal_ARI,Temporal_NMI,Temporal_Purity,Functional_ARI,Functional_NMI,Functional_Purity
Physicochemical (25-dim),K=4 (Baseline),4,0.07327235160674492,7.71161896562338,2.314170577994433,0.02003982753019093,0.15779416580990627,0.7297297297297297,0.03894274621432266,0.41838302979778325,0.1891891891891892
Physicochemical (25-dim),Best K (K=2),2,0.11014898275320381,10.496306411821784,2.4825524106656407,0.0333866493895649,0.12306380239363521,0.7297297297297297,0.004419276266430972,0.22064037469139106,0.10810810810810811
ProtBERT (1024-dim),K=4 (Baseline),4,0.14335188269615173,10.083888206846895,2.097165622422776,0.2024666359484291,0.2278580435854375,0.7972972972972973,0.027569470246742764,0.3958225049924152,0.1891891891891892
ProtBERT (1024-dim),Best K (K=2),2,0.25029516220092773,14.58107720060962,1.7875872369999275,0.09211927165579835,0.06966399712060584,0.7297297297297297,0.010035490533035388,0.18190056906995394,0.13513513513513514
Combined (1049-dim),K=4 (Baseline),4,0.14153390307443642,9.891686133917414,2.108829607274867,0.2024666359484291,0.2278580435854375,0.7972972972972973,0.027569470246742764,0.3958225049924152,0.1891891891891892
Combined (1049-dim),Best K (K=2),2,0.24513050818121532,14.235428028408625,1.805287716530824,0.09211927165579835,0.06966399712060584,0.7297297297297297,0.010035490533035388,0.18190056906995394,0.13513513513513514
