Feature,Mean,Std,Median,IQR,Min,Max,Skewness,Kurtosis
length,522.9459459459459,441.76544609883325,405.5,443.75,88.0,3139.0,3.1714371502488445,16.00750118194539
mw_kda,56.458950956757,47.21013838461228,43.118800600000014,48.39471105000041,9.201673799999998,333.4381327000056,3.0952593316881916,15.359261267980056
isoelectric_point,7.757939385079049,1.802165721568301,7.67732219696045,3.0878552436828635,4.850378227233886,11.7960542678833,0.31403693985438236,-1.0085012345863418
instability_index,51.43137179520306,11.181032563676542,52.328958178012265,14.887907964635026,31.68142857142856,95.54444444444442,0.9495403199259723,2.476338973404333
aromaticity,0.06909191142339063,0.021768720466004487,0.06929448929448925,0.024284802572137873,0.0062111801242236,0.1351351351351351,-0.18349980105310468,0.9557651348383192
aa_A,11.921130906390333,2.9602097263549223,11.754142429049885,3.858070948842782,5.208333333333333,20.87827426810477,0.24572681804213295,0.369742774911507
aa_C,1.9818376849943304,1.1130283651532291,1.8129783537587452,1.3139329121815388,0.0,5.494505494505495,0.9867413114467841,1.2419354704742305
aa_D,5.12126592041533,1.5098801311091672,5.033785326211021,1.6301182732219504,1.4792899408284024,8.461538461538462,0.19512649728998818,0.15739732872864343
aa_E,4.578974080972487,1.1844051884347366,4.491868547135434,1.4451510477849063,1.0869565217391304,6.904761904761905,-0.32383921153976253,0.35499344444592396
aa_F,3.2143826057512306,1.4973301146097213,3.072203869749882,1.9332034856244777,0.0,8.108108108108109,0.5143593994279493,0.7368930701118495
aa_G,7.914763907852451,2.2057653443753056,7.542429126765905,2.099567068509092,4.054054054054054,17.582417582417584,1.5353435742953374,4.587813833372971
aa_H,2.6038328492064142,0.9985756172926333,2.516250896965092,0.9357943631844976,0.0,6.410256410256411,1.0604793432053012,3.397651174480632
aa_I,3.002545147416906,1.4275864399424048,3.0111707470039404,1.8538058159860156,0.0,6.764705882352941,0.3834150199613589,-0.04645896698511587
aa_K,1.6088005018138571,1.119539933828525,1.3629608990433733,1.445914447089148,0.0,5.204460966542751,0.8643524610859211,0.8803303061470644
aa_L,9.492437344754203,2.5161646015113748,9.750537446664556,3.1362734487734487,1.8633540372670807,16.304347826086957,-0.33716315180854156,0.9009564698333636
aa_M,1.9047446499363032,0.9067491410938937,1.764979964588575,0.9009435086082256,0.4032258064516129,5.555555555555555,1.3230980723077999,3.0165175861354165
aa_N,2.2139551110617632,1.0154336562665078,2.022318766504813,1.2713037162240868,0.6211180124223602,5.357142857142857,0.8147209127239545,0.41806731438530775
aa_P,9.311539282494648,3.625548025360117,8.519548379509065,4.86458287783529,4.444444444444445,24.22360248447205,1.4497666666573268,3.4390129162696845
aa_Q,2.9231756885852134,1.007914762972035,2.9411764705882355,1.24124725428995,0.0,5.357142857142857,-0.35457623505997626,0.8870804706912829
aa_R,8.849026283915853,2.4788872039000944,8.105778191985088,2.9580271403725877,5.167173252279635,19.25465838509317,1.5984700821814612,3.741739072172194
aa_S,6.404998699731093,1.9760969893895375,6.122448979591836,2.5186865756507855,2.197802197802198,13.333333333333334,0.7954538197199982,1.143146333518788
aa_T,6.157013215198713,1.8023755789575897,6.008564990600918,2.1044899659257172,2.197802197802198,12.605042016806722,0.8407200370973227,1.8030420401502387
aa_V,7.10076758292104,1.863868749005224,6.721668424454802,1.9998219656788514,3.1963470319634704,13.043478260869565,0.773701988315253,1.1342359040364793
aa_W,1.193816513942079,0.715950163977755,1.093189964157706,0.9553856688184323,0.0,3.488372093023256,0.6330627992596969,0.3333576058438137
aa_Y,2.500992022645757,1.1191043495776143,2.5305889079473984,1.6932321247416429,0.0,5.07399577167019,0.1438791603713157,-0.5948366587595548
