Representation_Subset,Feature_Count,Accuracy_Mean,Accuracy_Std,Macro_F1_Mean,Macro_F1_Std,Silhouette_Score_k4,Temporal_ARI_k4,Delta_Macro_F1_vs_Phys,Delta_Accuracy_vs_Phys
Global Descriptors Only (5-dim),5,0.6940952380952381,0.06543460151043891,0.4516810035121248,0.17273768134608214,0.2304462194442749,0.08014627730489451,0.09428931693782949,-0.03523809523809529
AA Composition Only (20-dim),20,0.708190476190476,0.04834719482209421,0.3179898690681299,0.0750021233511023,0.0845625102519989,0.0003631255554387608,-0.03940181750616539,-0.021142857142857352
All Physicochemical (25-dim),25,0.7293333333333334,0.05278081146550248,0.3573916865742953,0.08598395392135558,0.07327235490083694,0.02003982753019093,0.0,0.0
ProtBERT Embeddings (1024-dim),1024,0.7752380952380952,0.05095015571464862,0.4387361083361083,0.09308316182940672,0.14335188269615173,0.2024666359484291,0.081344421761813,0.04590476190476178
Combined Multimodal (1049-dim),1049,0.788952380952381,0.05240207366376869,0.45695647347821267,0.09512618609831992,0.14153392612934113,0.2024666359484291,0.09956478690391735,0.05961904761904757
