,length,mw_kda,isoelectric_point,instability_index,aromaticity,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y
isoelectric_point,-0.3499040752118288,-0.3488213462287385,1.0,0.236244413826976,-0.18014013223015748,-0.1663581739837261,-0.02715074587644125,-0.4434700139721381,-0.518063181192911,-0.21209927403429613,0.08140279760851978,0.07863245376306194,-0.09612937321229094,0.012144931581779107,-0.14911799589546876,-0.0060890068280616385,-0.03854315850844989,0.22477010297435268,-0.09454300436395442,0.5337903338797769,0.01289651727112712,0.03653732623350542,0.18738262489394655,0.131691752569177,-0.15087433082935872
instability_index,-0.227892823312394,-0.23531989965982908,0.236244413826976,1.0,-0.4208775774794721,-0.17517485516443315,-0.00016835255170789338,0.06538187076196275,0.06614715669067202,-0.4732839209567228,-0.18621427731157403,-0.18441328074890623,-0.24071065268544217,-0.18867694367345925,-0.2774676817007303,0.05395333284731892,-0.18606870951808943,0.43955529128373,-0.24828733320376212,0.4281837649835757,0.5829017375426612,-0.09289365408839566,-0.07695140918748515,0.031062495676320707,-0.20531915974292667
aromaticity,0.11293349620403298,0.12921912866747723,-0.18014013223015748,-0.4208775774794721,1.0,-0.08325282006558785,0.1482049405216182,-0.11149057405360525,-0.15355325162821284,0.8031117545084395,-0.26361634125380073,0.17330530760781626,0.34769880602614867,0.24467572016272032,0.4189523703031847,-0.021175209917781962,0.40138482122449676,-0.5940166022870951,0.014331044682939246,-0.5552207310569022,-0.13464843906478316,-0.0361053585327711,0.1593940303476526,0.2763884548023093,0.6938300900480859
aa_A,0.27943761398044903,0.26195723944229826,-0.1663581739837261,-0.17517485516443315,-0.08325282006558785,1.0,-0.2606879957888427,0.00867048453003081,-0.07913232433052994,-0.14092547684540446,0.2788591674287087,-0.10564212278859825,-0.32974249139833617,-0.290224905576883,0.04199200504796148,-0.186691250742165,-0.35292232037293675,0.03941525419670284,-0.02661009988787235,-0.11260533253100286,-0.274698614103844,-0.4450732902930503,-0.10305278601871191,0.1344285128051969,-0.05938936097990103
aa_C,-0.18925644204930567,-0.18581268167178455,-0.02715074587644125,-0.00016835255170789338,0.1482049405216182,-0.2606879957888427,1.0,-0.2804915109141496,-0.12281763884151865,0.10801032522403022,0.09373350823834233,0.16932815376099544,0.2411408758038752,0.07879386025859633,0.12995423259930328,0.08778024389647925,-0.0858831268473155,-0.2120682318346812,-0.1756559098658314,-0.20063180979492515,0.029629485066591663,-0.12222412940145967,0.20512963735918496,0.11607616442998582,0.06951213317566501
aa_D,0.16259880989125094,0.16473197229049102,-0.4434700139721381,0.06538187076196275,-0.11149057405360525,0.00867048453003081,-0.2804915109141496,1.0,0.5939310086823251,0.0027605586732341696,-0.25977751176278213,-0.24257594042707892,-0.15568009217653248,0.06715931350759774,-0.12241054519010335,-0.07639573642854254,-0.01037790353823674,-0.05675591239866629,-0.09496388934508108,0.315849683303764,0.0661384910577064,-0.022122142406521314,-0.4862389648600681,-0.19344218575494315,-0.09680886074719906
aa_E,0.24879375382295785,0.2565839544982664,-0.518063181192911,0.06614715669067202,-0.15355325162821284,-0.07913232433052994,-0.12281763884151865,0.5939310086823251,1.0,0.0019097915460823643,-0.27073555798823656,-0.3063421753301336,0.0420352230738933,0.30004513282568823,-0.23023311910920113,0.027442973985597526,-0.0077970141099206565,-0.08357338457388108,0.06665564648159364,0.19180883578277427,0.11674569842764147,0.04634896029266089,-0.46159380287520796,-0.30972763928317776,-0.10309656596272702
aa_F,0.16794967015220794,0.1826557407849245,-0.21209927403429613,-0.4732839209567228,0.8031117545084395,-0.14092547684540446,0.10801032522403022,0.0027605586732341696,0.0019097915460823643,1.0,-0.17750737359059915,0.08431313972338053,0.1837268047597382,0.28942974447550734,0.3628155882101706,0.04367984002424727,0.47836614691181073,-0.6135224003503938,0.11570339589218755,-0.4252678867151088,-0.11039700788021305,0.05704199127669685,0.05488199068031467,-0.06714457221919531,0.2671900807814297
aa_G,-0.00682567289388735,-0.021536357540157012,0.08140279760851978,-0.18621427731157403,-0.26361634125380073,0.2788591674287087,0.09373350823834233,-0.25977751176278213,-0.27073555798823656,-0.17750737359059915,1.0,0.013469956670393649,-0.14425779541146144,-0.37919439658842014,-0.10266175898680444,0.03799083820092949,-0.2803971749212545,0.1257643765118945,0.03095229180063659,-0.06804247921791748,-0.30133695809492017,-0.35737637287876955,0.10616950866035822,0.008053092240168223,-0.28043633383100497
aa_H,-0.09201406265874065,-0.08568615223295215,0.07863245376306194,-0.18441328074890623,0.17330530760781626,-0.10564212278859825,0.16932815376099544,-0.24257594042707892,-0.3063421753301336,0.08431313972338053,0.013469956670393649,1.0,0.05767076859531337,0.071935038317985,0.048652944889095474,0.04189881388979119,0.2169360169794993,-0.007291873032071236,-0.06892158263814648,-0.31554579310640324,-0.19274453501994082,0.1531069034203674,-0.06048039979176007,-0.07827054269547938,0.2743771699995456
aa_I,-0.134508102042245,-0.1224739913030703,-0.09612937321229094,-0.24071065268544217,0.34769880602614867,-0.32974249139833617,0.2411408758038752,-0.15568009217653248,0.0420352230738933,0.1837268047597382,-0.14425779541146144,0.05767076859531337,1.0,0.37200547674189277,0.1176383740160556,-0.04470655297477538,0.2256672841325219,-0.3403795385274125,0.2126902224685631,-0.32744117747261253,-0.09379500674800469,0.055594530740307575,-0.00828970315648408,-0.03679815700431423,0.45406112538120724
aa_K,0.15905863870194578,0.17443449056093124,0.012144931581779107,-0.18867694367345925,0.24467572016272032,-0.290224905576883,0.07879386025859633,0.06715931350759774,0.30004513282568823,0.28942974447550734,-0.37919439658842014,0.071935038317985,0.37200547674189277,1.0,-0.06926851670069543,-0.14278935913464147,0.22378962180986195,-0.3660041059085473,0.06884930210469205,-0.11238997303568396,0.11069745783868658,0.3206692536631919,-0.15453209223285805,-0.2129999510473682,0.22495955199506004
