K,Inertia_WCSS,Silhouette_Score,Calinski_Harabasz,Davies_Bouldin,Temporal_ARI,Temporal_NMI,Temporal_Purity,Functional_ARI,Functional_NMI,Functional_Purity
2,63014.6015625,0.25029516220092773,14.58107720060962,1.7875872369999275,0.09211927165579835,0.06966399712060584,0.7297297297297297,0.010035490533035388,0.18190056906995394,0.13513513513513514
3,57796.609375,0.1357114464044571,11.04335211346099,2.25974884658412,0.1151131231384779,0.17096709102246732,0.7297297297297297,0.017078499492388488,0.3223365279253122,0.16216216216216217
4,52910.046875,0.14335188269615173,10.083888206846895,2.097165622422776,0.2024666359484291,0.2278580435854375,0.7972972972972973,0.027569470246742764,0.3958225049924152,0.1891891891891892
5,48609.9765625,0.11103612184524536,9.640283304321908,1.9908345115706279,0.07031862771228013,0.17590478162251616,0.7702702702702703,0.023329586235983822,0.4454155628027895,0.1891891891891892
6,46301.82421875,0.1161576509475708,8.657299769872498,1.953770290528326,0.062222317969847514,0.22701607023246673,0.7972972972972973,0.03782114044373471,0.5006451195752292,0.20270270270270271
7,43270.0859375,0.11478704959154129,8.388766270019207,1.502811020809911,0.11377794360167483,0.2845763807103711,0.8378378378378378,0.018252762938091305,0.4575359734149232,0.20270270270270271
8,40725.421875,0.13230066001415253,8.114757159474543,1.4638866672779571,0.07845947210298057,0.25153873893896395,0.8378378378378378,0.033155266877243655,0.5105074863495513,0.21621621621621623
9,39836.3984375,0.11353704333305359,7.330213351709829,1.6538890282425678,0.06941954007624672,0.21373515623684314,0.8243243243243243,0.0096126488948801,0.5090468028147807,0.20270270270270271
10,37845.92578125,0.11719634383916855,7.126922401938363,1.2957423081639388,0.08806067833897928,0.2789550261346555,0.8378378378378378,0.047263513414207564,0.5481099792366902,0.2702702702702703
